totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;timestamp;
1000;858;17530;0;7517;2022-04-07T11:39:02.258;
2000;842;17737;0;7265;2022-04-07T11:40:14.091;
3000;845;17992;0;7224;2022-04-07T11:41:26.831;
4000;832;17358;0;8890;2022-04-07T11:42:37.055;
5000;862;17878;0;6515;2022-04-07T11:43:49.318;
6000;878;18279;0;5437;2022-04-07T11:45:03.720;
7000;855;17961;0;7119;2022-04-07T11:46:17.656;
8000;868;18006;0;7103;2022-04-07T11:47:31.596;
9000;853;18134;0;7599;2022-04-07T11:48:46.860;
10000;858;17854;0;7264;2022-04-07T11:50:01.706;
11000;852;17785;0;7914;2022-04-07T11:51:14.579;
12000;843;17895;0;7996;2022-04-07T11:52:27.687;
13000;863;18152;0;7192;2022-04-07T11:53:40.714;
14000;860;18267;0;7209;2022-04-07T11:54:54.248;
15000;872;18114;0;6175;2022-04-07T11:56:07.151;
16000;862;17541;0;7528;2022-04-07T11:57:19.694;
17000;832;18124;0;7869;2022-04-07T11:58:34.939;
18000;850;17560;0;7612;2022-04-07T11:59:46.630;
19000;865;18254;0;7071;2022-04-07T12:01:00.441;
20000;867;18139;0;6930;2022-04-07T12:02:17.340;
21000;852;18125;0;6780;2022-04-07T12:03:31.323;
22000;842;17623;0;8547;2022-04-07T12:04:42.521;
23000;857;17660;0;7134;2022-04-07T12:05:53.064;
24000;858;17885;0;6920;2022-04-07T12:07:05.033;
25000;868;17887;0;6714;2022-04-07T12:08:16.740;
26000;852;17542;0;7068;2022-04-07T12:09:27.375;
27000;850;17610;0;7590;2022-04-07T12:10:37.987;
28000;864;18028;0;6163;2022-04-07T12:11:50.391;
29000;869;17907;0;6415;2022-04-07T12:13:02.280;
30000;845;17628;0;8073;2022-04-07T12:14:12.946;
31000;856;17954;0;6890;2022-04-07T12:15:25.118;
32000;854;17914;0;7108;2022-04-07T12:16:36.951;
33000;874;17920;0;6064;2022-04-07T12:17:48.684;
