totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
1000;576;62559;53989;2022-04-14T00:34:43.137;
2000;624;65926;47485;2022-04-14T00:57:16.580;
3000;627;66308;43720;2022-04-14T01:19:58.252;
4000;648;66675;47232;2022-04-14T01:42:50.260;
5000;629;65715;48494;2022-04-14T02:05:18.800;
6000;643;65833;47226;2022-04-14T02:27:54.882;
7000;656;66252;46406;2022-04-14T02:50:35.857;
8000;648;65629;50521;2022-04-14T03:13:05.797;
9000;639;64305;49852;2022-04-14T03:35:08.769;
10000;637;65918;47871;2022-04-14T03:57:42.970;
11000;654;67252;45384;2022-04-14T04:20:48.274;
12000;618;63915;51601;2022-04-14T04:42:40.969;
13000;639;64919;49084;2022-04-14T05:04:52.687;
14000;652;66361;48007;2022-04-14T05:27:31.463;
15000;678;66315;46305;2022-04-14T05:50:14.174;
16000;658;66180;46340;2022-04-14T06:12:55.032;
17000;669;67776;43091;2022-04-14T06:36:09.864;
18000;672;67349;45001;2022-04-14T06:59:11.622;
19000;657;66519;47249;2022-04-14T07:22:00.802;
20000;634;65038;49237;2022-04-14T07:44:17.875;
21000;655;66659;43516;2022-04-14T08:07:08.335;
22000;652;66158;47129;2022-04-14T08:29:43.651;
23000;664;67302;45245;2022-04-14T08:52:47.451;
24000;634;65511;48326;2022-04-14T09:15:12.945;
25000;675;68233;39172;2022-04-14T09:38:35.610;
26000;650;66128;47150;2022-04-14T10:01:14.605;
27000;653;66216;45826;2022-04-14T10:24:08.968;
28000;661;65418;47343;2022-04-14T10:46:35.776;
29000;655;67368;43087;2022-04-14T11:09:41.517;
30000;636;65176;48649;2022-04-14T11:32:00.897;
31000;682;67884;42347;2022-04-14T11:55:17.850;
32000;668;67048;46007;2022-04-14T12:18:22.170;
33000;652;67233;45115;2022-04-14T12:41:26.731;
34000;656;66902;46462;2022-04-14T13:04:20.764;
35000;672;67424;45611;2022-04-14T13:27:29.304;
36000;668;67556;42808;2022-04-14T13:50:36.766;
37000;694;69688;38889;2022-04-14T14:14:37.186;
38000;661;67326;43685;2022-04-14T14:37:44.596;
39000;673;66934;43600;2022-04-14T15:00:44.440;
40000;664;65651;47523;2022-04-14T15:23:20.023;
41000;631;65685;47655;2022-04-14T15:45:57.282;
42000;668;66906;45233;2022-04-14T16:08:56.277;
43000;655;65782;46459;2022-04-14T16:31:35.021;
44000;656;66373;47004;2022-04-14T16:54:24.287;
45000;648;65623;47812;2022-04-14T17:16:57.353;
46000;669;67367;44253;2022-04-14T17:40:07.500;
47000;654;67270;47259;2022-04-14T18:03:15.655;
48000;602;61736;54662;2022-04-14T18:24:31.692;
49000;650;64977;49345;2022-04-14T18:46:51.493;
50000;667;67124;45020;2022-04-14T19:09:53.715;
51000;673;67092;43981;2022-04-14T19:32:54.193;
52000;642;64714;50812;2022-04-14T19:55:07.698;
53000;627;63432;54480;2022-04-14T20:16:53.789;
54000;657;66498;46806;2022-04-14T20:39:41.034;
55000;695;68924;40240;2022-04-14T21:03:20.749;
56000;664;66804;45492;2022-04-14T21:26:16.431;
57000;638;66067;46859;2022-04-14T21:48:55.688;
58000;649;65197;50166;2022-04-14T22:11:19.624;
59000;642;65614;49745;2022-04-14T22:33:49.678;
60000;637;65287;49923;2022-04-14T22:56:14.416;
61000;632;64631;50327;2022-04-14T23:18:25.339;
62000;663;65720;48816;2022-04-14T23:40:58.357;
63000;653;65068;49065;2022-04-15T00:03:20.032;
64000;650;66362;47360;2022-04-15T00:26:09.494;
65000;665;67261;46267;2022-04-15T00:49:16.200;
66000;675;66767;44905;2022-04-15T01:12:13.065;
67000;669;67544;44637;2022-04-15T01:35:23.280;
68000;665;68143;44593;2022-04-15T01:58:55.665;
69000;671;68136;43287;2022-04-15T02:22:21.615;
70000;635;64764;49701;2022-04-15T02:44:36.738;
71000;644;65590;49581;2022-04-15T03:07:08.372;
72000;654;65550;49448;2022-04-15T03:29:35.648;
73000;669;66467;45799;2022-04-15T03:52:26.555;
74000;628;64858;49239;2022-04-15T04:14:49.847;
75000;637;62804;50934;2022-04-15T04:36:25.214;
76000;642;65227;47865;2022-04-15T04:58:50.787;
77000;657;64973;46538;2022-04-15T05:21:10.060;
78000;655;65608;48034;2022-04-15T05:43:42.408;
79000;646;64720;50039;2022-04-15T06:05:56.990;
80000;668;67486;44653;2022-04-15T06:29:05.467;
81000;657;66305;49088;2022-04-15T06:51:52.185;
82000;667;65837;48323;2022-04-15T07:14:28.875;
83000;663;66166;46902;2022-04-15T07:37:12.371;
84000;662;66174;47370;2022-04-15T07:59:52.334;
85000;661;66560;46565;2022-04-15T08:22:47.012;
86000;626;64408;49377;2022-04-15T08:44:56.193;
87000;659;65782;46521;2022-04-15T09:07:33.505;
88000;651;65567;47629;2022-04-15T09:30:04.245;
89000;636;64376;51148;2022-04-15T09:52:11.651;
90000;638;64680;47601;2022-04-15T10:14:24.153;
91000;679;69144;40433;2022-04-15T10:38:08.875;
92000;627;64359;52073;2022-04-15T11:00:17.544;
93000;669;66585;45988;2022-04-15T11:23:09.516;
94000;646;65233;48914;2022-04-15T11:45:33.783;
95000;672;66514;44897;2022-04-15T12:08:26.288;
96000;669;68758;42259;2022-04-15T12:32:02.265;
97000;650;65439;46139;2022-04-15T12:54:31.125;
98000;675;66424;46207;2022-04-15T13:18:38.186;
99000;699;69569;39489;2022-04-15T13:44:20.161;
100000;661;64788;50584;2022-04-15T14:08:09.225;
101000;661;65895;48526;2022-04-15T14:32:30.132;
102000;638;65280;50174;2022-04-15T14:56:29.507;
103000;670;68045;43105;2022-04-15T15:21:30.815;
104000;652;65890;48013;2022-04-15T15:46:17.266;
105000;671;67158;43996;2022-04-15T16:11:17.656;
106000;685;68894;42831;2022-04-15T16:36:42.015;
107000;640;65712;48594;2022-04-15T17:00:24.283;
108000;667;66393;46150;2022-04-15T17:23:30.360;
109000;639;63874;51330;2022-04-15T17:45:33.141;
110000;653;66511;45859;2022-04-15T18:08:25.265;
111000;657;65810;47058;2022-04-15T18:30:59.322;
112000;690;67476;43427;2022-04-15T18:54:07.490;
113000;698;68216;41753;2022-04-15T19:17:32.481;
114000;682;67863;41716;2022-04-15T19:40:48.271;
115000;677;67028;45042;2022-04-15T20:03:49.643;
116000;668;65946;46423;2022-04-15T20:26:24.180;
117000;677;66906;44016;2022-04-15T20:49:24.915;
118000;706;69275;40682;2022-04-15T21:13:11.467;
119000;687;69009;42105;2022-04-15T21:36:54.590;
120000;665;67769;43473;2022-04-15T22:00:09.498;
121000;675;66450;46036;2022-04-15T22:22:57.686;
122000;669;68067;43265;2022-04-15T22:46:19.666;
123000;679;68588;41942;2022-04-15T23:09:52.337;
124000;660;65712;46969;2022-04-15T23:32:23.676;
125000;653;65126;49336;2022-04-15T23:54:44.713;
126000;663;65859;46504;2022-04-16T00:17:20.763;
127000;659;65149;49976;2022-04-16T00:39:43.075;
128000;614;60568;58055;2022-04-16T01:00:31.936;
129000;660;66833;46049;2022-04-16T01:23:28.713;
130000;663;66477;47080;2022-04-16T01:46:17.061;
131000;657;66964;45759;2022-04-16T02:09:19.356;
132000;651;65538;47916;2022-04-16T02:31:50.562;
133000;708;70505;35921;2022-04-16T02:56:01.810;
134000;679;68130;43769;2022-04-16T03:19:26.112;
135000;656;65695;48632;2022-04-16T03:42:05.221;
136000;655;66440;45834;2022-04-16T04:04:55.841;
137000;662;66266;46516;2022-04-16T04:27:43.623;
138000;671;66533;48053;2022-04-16T04:50:35.959;
139000;661;66159;47831;2022-04-16T05:13:17.017;
140000;658;65945;48214;2022-04-16T05:35:57.394;
141000;685;67714;41718;2022-04-16T05:59:15.039;
142000;683;67054;44624;2022-04-16T06:22:17.002;
143000;651;65338;49204;2022-04-16T06:44:43.585;
144000;662;67179;45544;2022-04-16T07:07:49.109;
145000;669;66237;46824;2022-04-16T07:30:32.649;
146000;672;66854;44928;2022-04-16T07:53:30.870;
147000;649;65560;47781;2022-04-16T08:16:05.105;
148000;662;67200;44409;2022-04-16T08:39:07.519;
149000;681;67615;45411;2022-04-16T09:02:21.769;
150000;650;65720;48210;2022-04-16T09:24:58.039;
151000;636;64759;50391;2022-04-16T09:47:20.331;
152000;679;66498;46549;2022-04-16T10:10:12.471;
153000;705;68623;40044;2022-04-16T10:33:47.133;
154000;684;68585;41993;2022-04-16T10:57:20.624;
155000;676;67954;42931;2022-04-16T11:20:39.962;
156000;681;66530;45782;2022-04-16T11:43:28.492;
157000;671;67137;44488;2022-04-16T12:06:29.585;
158000;663;66470;46363;2022-04-16T12:29:19.965;
159000;660;65450;49289;2022-04-16T12:51:50.701;
160000;652;65679;48271;2022-04-16T13:14:22.797;
161000;655;65353;48400;2022-04-16T13:36:48.727;
162000;679;67950;43538;2022-04-16T14:00:05.473;
163000;691;67439;43690;2022-04-16T14:23:15.264;
164000;644;66621;46741;2022-04-16T14:46:08.048;
165000;689;67976;42839;2022-04-16T15:09:28.753;
166000;673;66998;44765;2022-04-16T15:32:26.964;
167000;692;68045;41999;2022-04-16T15:55:48.142;
168000;709;70530;38731;2022-04-16T16:20:01.361;
169000;691;70025;38183;2022-04-16T16:44:01.063;
170000;697;69171;41179;2022-04-16T17:07:42.706;
171000;683;67641;43008;2022-04-16T17:30:57.977;
172000;673;66923;45350;2022-04-16T17:53:56.039;
173000;691;69661;40206;2022-04-16T18:17:56.678;
174000;680;66403;45772;2022-04-16T18:40:46.367;
175000;695;68015;44367;2022-04-16T19:04:08.579;
176000;714;69375;38487;2022-04-16T19:27:59.488;
177000;658;66627;46625;2022-04-16T19:50:51.029;
178000;669;66870;45768;2022-04-16T20:13:49.344;
179000;648;66015;47680;2022-04-16T20:36:31.189;
180000;653;66127;45558;2022-04-16T20:59:15.093;
181000;654;65448;49976;2022-04-16T21:21:43.531;
182000;674;68609;42202;2022-04-16T21:45:17.235;
183000;684;69102;42270;2022-04-16T22:09:02.357;
184000;665;65654;49106;2022-04-16T22:31:35.564;
185000;697;67983;42321;2022-04-16T22:54:56.430;
186000;674;66205;46749;2022-04-16T23:17:39.944;
187000;672;67088;43917;2022-04-16T23:40:42.447;
188000;687;67093;44588;2022-04-17T00:03:49.801;
189000;683;68479;41629;2022-04-17T00:27:23.329;
190000;691;68763;42132;2022-04-17T00:51:02.684;
191000;674;67253;44655;2022-04-17T01:14:08.069;
192000;664;67245;44537;2022-04-17T01:37:15.566;
193000;689;69017;40447;2022-04-17T02:01:00.552;
194000;683;67306;44540;2022-04-17T02:24:10.718;
195000;658;66161;46470;2022-04-17T02:46:55.464;
196000;674;67214;46721;2022-04-17T03:10:01.132;
197000;685;67882;42075;2022-04-17T03:33:26.783;
198000;688;68407;40684;2022-04-17T03:56:56.022;
199000;685;68112;43535;2022-04-17T04:20:21.586;
200000;654;66235;47183;2022-04-17T04:43:06.752;
201000;661;66877;45334;2022-04-17T05:06:05.702;
202000;658;64804;50439;2022-04-17T05:28:22.002;
203000;634;64184;52971;2022-04-17T05:50:26.588;
204000;649;65593;48822;2022-04-17T06:12:56.570;
205000;664;66173;47468;2022-04-17T06:35:41.958;
206000;695;67453;44520;2022-04-17T06:58:49.794;
207000;668;67346;44783;2022-04-17T07:21:57.789;
208000;676;67393;45135;2022-04-17T07:45:04.109;
209000;688;70088;39192;2022-04-17T08:09:11.434;
210000;668;65812;46050;2022-04-17T08:31:47.627;
211000;692;68488;41485;2022-04-17T08:55:18.630;
212000;681;67212;45131;2022-04-17T09:18:24.970;
213000;685;67814;44794;2022-04-17T09:41:41.454;
214000;673;67545;43749;2022-04-17T10:04:54.631;
215000;653;67220;45507;2022-04-17T10:27:58.174;
216000;659;66403;46489;2022-04-17T10:47:25.587;
217000;648;66055;46899;2022-04-17T11:01:58.575;
218000;680;67289;43235;2022-04-17T11:19:05.374;
219000;694;68492;43769;2022-04-17T11:42:36.635;
220000;662;66492;47661;2022-04-17T12:05:35.423;
221000;675;67881;44211;2022-04-17T12:29:06.049;
222000;664;67126;44717;2022-04-17T12:52:17.543;
223000;689;67080;45951;2022-04-17T13:15:26.934;
