totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;timestamp;
1000;7;5170;0;27788;2022-04-07T12:58:17.173;
2000;119;9638;0;19827;2022-04-07T12:59:16.686;
3000;280;12331;0;15746;2022-04-07T13:00:32.283;
4000;444;14304;0;13735;2022-04-07T13:02:00.165;
5000;536;15321;0;12882;2022-04-07T13:03:33.321;
6000;594;15428;0;12137;2022-04-07T13:05:06.970;
7000;624;15868;0;12162;2022-04-07T13:06:43.450;
8000;675;16692;0;10327;2022-04-07T13:08:24.945;
9000;689;16375;0;10228;2022-04-07T13:10:04.226;
10000;689;16502;0;11057;2022-04-07T13:11:44.447;
11000;719;16565;0;10035;2022-04-07T13:13:24.932;
12000;722;16994;0;8843;2022-04-07T13:15:07.829;
13000;734;16912;0;9280;2022-04-07T13:16:50.391;
14000;765;17449;0;7801;2022-04-07T13:18:36.125;
15000;764;17157;0;9804;2022-04-07T13:20:20.267;
16000;783;16817;0;9823;2022-04-07T13:22:02.039;
17000;752;16836;0;9787;2022-04-07T13:23:43.908;
18000;762;16856;0;9544;2022-04-07T13:25:26.013;
19000;771;17012;0;9429;2022-04-07T13:27:08.955;
20000;781;16833;0;9410;2022-04-07T13:28:51.336;
21000;792;17302;0;8784;2022-04-07T13:30:36.191;
22000;778;17334;0;8656;2022-04-07T13:32:20.999;
23000;776;17347;0;9573;2022-04-07T13:34:06.160;
24000;789;17314;0;9030;2022-04-07T13:35:50.827;
25000;802;17740;0;7743;2022-04-07T13:37:39.202;
26000;798;17674;0;7961;2022-04-07T13:39:26.533;
27000;788;17200;0;9021;2022-04-07T13:41:10.539;
28000;808;17294;0;7826;2022-04-07T13:42:56.644;
29000;813;17488;0;7573;2022-04-07T13:44:43.180;
30000;792;17579;0;9184;2022-04-07T13:46:30.250;
31000;816;17558;0;7557;2022-04-07T13:48:17.319;
32000;809;17921;0;8291;2022-04-07T13:50:06.442;
33000;814;17648;0;7708;2022-04-07T13:51:53.607;
34000;822;18153;0;7615;2022-04-07T13:53:43.972;
35000;826;18076;0;7980;2022-04-07T13:55:33.877;
36000;824;18175;0;7224;2022-04-07T13:57:24.646;
37000;804;17291;0;8453;2022-04-07T13:59:09.717;
38000;798;17230;0;8858;2022-04-07T14:00:54.328;
39000;834;18444;0;6593;2022-04-07T14:02:46.600;
40000;823;18233;0;7317;2022-04-07T14:04:37.560;
41000;805;17812;0;9220;2022-04-07T14:06:25.990;
42000;816;17566;0;8084;2022-04-07T14:08:12.753;
43000;818;17964;0;7497;2022-04-07T14:10:02.071;
44000;832;18189;0;7411;2022-04-07T14:11:52.229;
45000;822;17597;0;7343;2022-04-07T14:13:39.207;
46000;844;18232;0;7264;2022-04-07T14:15:30.067;
47000;829;18131;0;7015;2022-04-07T14:17:20.042;
48000;817;17467;0;7818;2022-04-07T14:19:06.425;
49000;837;18139;0;7674;2022-04-07T14:20:56.400;
50000;830;18570;0;7734;2022-04-07T14:22:49.095;
51000;855;18363;0;6778;2022-04-07T14:24:40.873;
52000;819;17412;0;8988;2022-04-07T14:26:27.804;
53000;834;18211;0;7503;2022-04-07T14:28:18.226;
54000;821;18053;0;7957;2022-04-07T14:30:07.783;
55000;845;18323;0;6926;2022-04-07T14:31:58.956;
56000;833;17635;0;7346;2022-04-07T14:33:46.211;
57000;833;17990;0;7944;2022-04-07T14:35:35.295;
58000;842;18045;0;7107;2022-04-07T14:37:24.585;
59000;852;18238;0;7119;2022-04-07T14:39:15.076;
60000;845;18144;0;7055;2022-04-07T14:41:05.248;
61000;859;18374;0;6256;2022-04-07T14:42:56.970;
62000;858;18218;0;7035;2022-04-07T14:44:47.445;
63000;828;17907;0;8273;2022-04-07T14:46:36.332;
64000;832;18191;0;7226;2022-04-07T14:48:26.843;
65000;827;17633;0;7948;2022-04-07T14:50:13.801;
66000;815;17242;0;7968;2022-04-07T14:51:58.580;
67000;851;18223;0;6479;2022-04-07T14:53:49.036;
68000;837;18175;0;6728;2022-04-07T14:55:39.381;
69000;847;18046;0;7016;2022-04-07T14:57:28.763;
70000;834;17813;0;7907;2022-04-07T14:59:16.943;
71000;880;19007;0;5262;2022-04-07T15:01:12.253;
72000;871;18597;0;6277;2022-04-07T15:03:05.297;
73000;848;18651;0;7238;2022-04-07T15:04:58.301;
74000;852;18080;0;6888;2022-04-07T15:06:47.438;
75000;842;18498;0;6764;2022-04-07T15:08:39.626;
76000;847;18118;0;6026;2022-04-07T15:10:29.576;
77000;853;18488;0;6284;2022-04-07T15:12:21.560;
78000;842;18243;0;7163;2022-04-07T15:14:11.787;
79000;882;18724;0;5911;2022-04-07T15:16:05.307;
80000;843;18079;0;7072;2022-04-07T15:17:54.956;
81000;860;18675;0;6300;2022-04-07T15:19:48.145;
82000;843;18421;0;6652;2022-04-07T15:21:39.408;
83000;867;18505;0;5999;2022-04-07T15:23:31.620;
84000;844;18125;0;8108;2022-04-07T15:25:21.597;
85000;837;18166;0;7532;2022-04-07T15:27:11.809;
86000;833;18266;0;7677;2022-04-07T15:29:02.745;
87000;851;18420;0;7081;2022-04-07T15:30:54.349;
88000;867;18877;0;5507;2022-04-07T15:32:49.022;
89000;861;17942;0;7138;2022-04-07T15:34:38.336;
90000;862;18260;0;6120;2022-04-07T15:36:29.182;
91000;856;18109;0;6841;2022-04-07T15:38:19.197;
92000;834;17903;0;7543;2022-04-07T15:40:07.975;
93000;850;18996;0;7177;2022-04-07T15:42:03.400;
94000;836;17833;0;7825;2022-04-07T15:43:51.616;
95000;862;18249;0;6466;2022-04-07T15:45:41.979;
96000;869;18766;0;6493;2022-04-07T15:47:35.941;
97000;875;18549;0;5969;2022-04-07T15:49:28.676;
98000;838;18361;0;7363;2022-04-07T15:51:19.753;
99000;861;18401;0;6744;2022-04-07T15:53:11.279;
