totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;2249;0;352129;
2000;0;6110;0;340315;
3000;0;16685;0;317592;
4000;0;26529;0;300202;
5000;0;35745;0;283582;
6000;0;42947;0;270845;
7000;0;43696;0;271796;
8000;3;50498;0;259746;
9000;2;46714;0;268174;
10000;5;54834;0;253962;
11000;4;54167;0;255639;
12000;6;59553;0;246574;
13000;12;60136;0;244315;
14000;12;57203;0;250176;
15000;15;62804;0;240868;
16000;10;64350;0;237764;
17000;15;65408;0;237914;
18000;24;67266;0;234534;
19000;16;67482;0;232533;
20000;23;71404;0;226177;
21000;26;74102;0;220972;
22000;23;71411;0;226242;
23000;37;72600;0;226372;
24000;36;76204;0;218308;
25000;30;79461;0;214057;
26000;38;80639;0;213624;
27000;28;74231;0;222998;
28000;36;79217;0;214990;
29000;31;76463;0;220012;
30000;33;80025;0;213387;
31000;28;80425;0;213027;
32000;40;78182;0;215261;
33000;33;74951;0;222748;
34000;42;80886;0;213533;
35000;44;82492;0;210206;
36000;41;80886;0;213132;
37000;53;85429;0;203422;
38000;38;78116;0;217201;
39000;46;83634;0;208656;
40000;54;83325;0;208318;
41000;61;83189;0;208899;
42000;70;89817;0;196905;
43000;70;91427;0;194640;
44000;51;86093;0;204279;
45000;68;86904;0;202022;
46000;69;87792;0;200070;
47000;63;84707;0;207357;
48000;69;87208;0;201601;
49000;53;85979;0;202810;
50000;76;88023;0;201160;
51000;57;84936;0;205745;
52000;68;86913;0;201557;
53000;90;93996;0;190479;
54000;75;92196;0;193471;
55000;82;92595;0;193223;
56000;65;91717;0;192069;
57000;73;95054;0;187870;
58000;56;89387;0;198221;
59000;73;94728;0;187901;
60000;75;95027;0;190585;
61000;83;101181;0;180415;
62000;81;93583;0;190862;
63000;85;90731;0;195611;
64000;80;95453;0;188940;
65000;79;95220;0;188869;
66000;74;90713;0;195827;
67000;84;95409;0;188069;
68000;90;100237;0;180293;
69000;92;99931;0;179925;
70000;86;97107;0;185948;
71000;67;96808;0;186102;
72000;88;100271;0;180290;
73000;99;99780;0;182229;
74000;85;97435;0;186569;
75000;88;100734;0;179767;
76000;91;105512;0;171965;
77000;100;103859;0;174178;
78000;93;105390;0;171505;
79000;80;98267;0;185219;
80000;92;96947;0;185918;
81000;95;99630;0;181101;
82000;93;100900;0;179058;
83000;84;97804;0;186296;
84000;82;93149;0;192814;
85000;81;96825;0;187169;
86000;86;92325;0;194274;
87000;94;100846;0;177389;
88000;88;95775;0;189139;
89000;98;99502;0;183214;
90000;68;89727;0;198280;
91000;83;94279;0;192055;
92000;91;99668;0;178958;
93000;80;97663;0;184853;
94000;95;101249;0;179394;
95000;104;102325;0;179078;
96000;91;95991;0;189324;
97000;90;96451;0;187748;
98000;98;99039;0;184415;
99000;111;101592;0;178207;
100000;98;98858;0;183438;
101000;84;96557;0;188318;
102000;78;88494;0;200891;
103000;97;101041;0;178404;
104000;85;95700;0;187718;
105000;95;97741;0;186394;
106000;76;94820;0;188759;
107000;98;101146;0;180405;
108000;93;101362;0;178313;
109000;100;98505;0;183987;
110000;94;101273;0;180145;
111000;96;98952;0;182676;
112000;101;106305;0;169927;
113000;113;101247;0;179899;
114000;107;99056;0;183755;
115000;89;101647;0;178997;
116000;104;95852;0;187961;
117000;87;98778;0;184533;
118000;104;100669;0;179137;
119000;94;102531;0;176877;
120000;97;96182;0;187215;
121000;106;98322;0;185024;
122000;78;95796;0;188840;
123000;125;102211;0;178246;
124000;84;97549;0;185124;
125000;107;100771;0;179396;
126000;119;104005;0;174066;
127000;115;102410;0;177732;
128000;99;100504;0;182703;
129000;126;106391;0;172328;
130000;89;98488;0;184136;
131000;102;96526;0;187975;
132000;109;98508;0;184884;
133000;96;96847;0;187332;
134000;111;102271;0;178018;
135000;92;95061;0;189448;
136000;94;99261;0;181248;
137000;102;96413;0;188414;
138000;124;105072;0;174838;
139000;91;98075;0;184973;
140000;107;98932;0;183698;
141000;98;99933;0;181424;
142000;123;105599;0;171233;
143000;111;100510;0;179581;
144000;93;94254;0;193354;
145000;119;104140;0;174675;
146000;101;98288;0;184988;
147000;95;99047;0;182752;
148000;96;98823;0;184267;
149000;94;98081;0;186121;
150000;107;100448;0;181213;
151000;69;91154;0;195485;
152000;105;95905;0;189077;
153000;103;94806;0;191650;
154000;100;100633;0;180252;
155000;103;99469;0;181895;
156000;110;99097;0;184800;
157000;102;97220;0;186540;
158000;100;98400;0;183573;
159000;108;100181;0;181767;
160000;93;94563;0;190975;
161000;94;96014;0;188844;
162000;98;94287;0;190552;
163000;103;99225;0;183872;
164000;103;102262;0;177304;
165000;96;95440;0;188993;
166000;90;97778;0;186304;
167000;83;94565;0;192072;
168000;94;95813;0;189977;
169000;102;101734;0;179146;
170000;115;100542;0;179557;
171000;100;95297;0;191700;
172000;90;94285;0;191888;
173000;113;102934;0;174845;
174000;92;97541;0;185349;
175000;91;97912;0;184158;
176000;103;103346;0;177316;
177000;104;98477;0;185539;
178000;102;98660;0;182980;
179000;91;97771;0;186743;
180000;92;93167;0;192769;
181000;108;97034;0;187257;
182000;95;96922;0;188542;
183000;110;102214;0;177997;
184000;97;96916;0;186705;
185000;120;100374;0;183144;
186000;100;98965;0;183264;
187000;102;99585;0;182588;
