totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
225000;858;18365;0;1508;
226000;850;17955;0;1683;
227000;888;18032;0;1238;
228000;874;18047;0;1786;
229000;885;18554;0;1123;
230000;844;18293;0;2025;
231000;864;18241;0;1851;
232000;855;17760;0;1602;
233000;885;18231;0;1339;
234000;864;18037;0;1572;
235000;862;17900;0;1974;
236000;861;18109;0;1730;
237000;875;17910;0;1452;
238000;865;17934;0;1416;
239000;866;17992;0;1662;
240000;874;17989;0;1641;
241000;861;17913;0;1449;
242000;857;17669;0;1894;
243000;867;17717;0;1618;
244000;861;18037;0;1739;
245000;857;17967;0;1927;
246000;882;18410;0;1957;
247000;875;18019;0;1388;
248000;886;18257;0;1506;
249000;877;17825;0;1727;
250000;862;18057;0;1733;
251000;859;17853;0;1891;
252000;887;18193;0;1171;
253000;866;18104;0;1472;
254000;874;18277;0;1498;
255000;862;17895;0;1571;
256000;883;18470;0;1457;
257000;874;18114;0;1464;
258000;864;18454;0;1727;
259000;887;18136;0;1357;
260000;859;17795;0;1896;
261000;865;18349;0;1368;
262000;871;18064;0;1309;
263000;863;17874;0;1610;
264000;864;18420;0;1964;
265000;866;17836;0;2018;
266000;878;17942;0;1615;
267000;875;18141;0;1572;
268000;869;18041;0;1607;
269000;868;18268;0;1566;
270000;878;18729;0;1343;
271000;867;17623;0;1575;
272000;867;17954;0;1463;
273000;881;18488;0;1412;
274000;872;17968;0;1693;
275000;870;17979;0;1463;
276000;861;18118;0;1770;
277000;874;18190;0;1276;
278000;878;18788;0;1177;
279000;885;18397;0;1471;
280000;865;18157;0;1924;
281000;862;18055;0;1652;
282000;864;17847;0;1861;
283000;863;17855;0;1896;
284000;868;17994;0;1644;
285000;873;18125;0;1337;
286000;858;18569;0;1868;
287000;871;18581;0;1224;
288000;856;18157;0;1595;
289000;878;18382;0;1277;
290000;859;18477;0;1818;
291000;866;18487;0;1560;
292000;886;18033;0;1592;
293000;871;18261;0;1645;
294000;877;18672;0;1372;
295000;880;18380;0;1795;
296000;876;18279;0;1618;
297000;868;18405;0;1402;
298000;879;18362;0;1431;
299000;880;17932;0;1650;
300000;855;18091;0;1931;
301000;882;18187;0;1503;
302000;886;18331;0;1221;
303000;875;18094;0;1270;
304000;872;18191;0;1458;
305000;884;17791;0;1522;
306000;873;18070;0;1473;
307000;885;18114;0;1353;
308000;877;18284;0;1305;
309000;879;18072;0;1774;
310000;876;18177;0;1609;
311000;872;18081;0;1524;
312000;876;18283;0;1487;
313000;870;18430;0;1387;
314000;870;18505;0;1935;
315000;878;18068;0;1691;
316000;870;18150;0;1903;
317000;864;17988;0;1951;
318000;879;18147;0;1388;
319000;878;18275;0;1456;
320000;868;18400;0;1731;
321000;894;17992;0;1227;
322000;855;18199;0;1953;
323000;863;18382;0;1585;
324000;884;17989;0;1526;
325000;890;18129;0;1211;
326000;875;18360;0;1782;
327000;874;18149;0;1743;
328000;877;18239;0;1267;
329000;875;18288;0;1426;
330000;900;18281;0;1096;
331000;878;18370;0;1660;
332000;872;18327;0;1339;
333000;897;18158;0;1530;
334000;897;18347;0;1032;
335000;865;18001;0;1711;
336000;854;17918;0;1413;
337000;885;18521;0;1415;
338000;880;18352;0;1495;
339000;870;18084;0;1885;
340000;866;18035;0;1768;
341000;877;18117;0;1850;
342000;879;18129;0;1358;
343000;867;18242;0;1886;
344000;879;17999;0;1247;
345000;872;17885;0;1754;
346000;876;18338;0;1546;
347000;865;18047;0;1650;
348000;885;18247;0;1562;
349000;881;17783;0;1507;
350000;883;18218;0;1187;
351000;887;18091;0;968;
352000;886;18557;0;1271;
353000;882;18413;0;1392;
354000;870;18424;0;1470;
355000;900;18187;0;1169;
356000;891;17987;0;1279;
357000;879;18223;0;1892;
358000;874;18165;0;1179;
359000;890;18431;0;1524;
360000;880;18363;0;1416;
361000;877;18281;0;1874;
362000;886;18742;0;1128;
363000;868;18314;0;1451;
364000;879;18431;0;1160;
365000;895;18120;0;1241;
366000;863;17615;0;2063;
367000;876;18066;0;1909;
368000;887;18157;0;1350;
369000;876;18231;0;1488;
370000;888;18388;0;1508;
371000;880;18402;0;1772;
372000;876;18166;0;1510;
373000;889;18252;0;1422;
374000;883;18182;0;1635;
375000;869;18067;0;1509;
376000;888;18294;0;1360;
377000;870;17958;0;1595;
378000;892;18477;0;1422;
379000;868;18219;0;1705;
380000;877;17939;0;1915;
381000;855;18345;0;1886;
382000;871;18168;0;1576;
383000;907;18519;0;1104;
384000;868;18240;0;1528;
385000;873;18214;0;1646;
386000;884;18270;0;1470;
387000;867;18323;0;1534;
388000;883;18440;0;1705;
389000;888;18407;0;1644;
390000;876;18061;0;1394;
391000;875;17901;0;1528;
392000;886;18190;0;1497;
393000;881;18091;0;1604;
394000;890;17599;0;1678;
395000;900;18337;0;1415;
396000;890;18395;0;1358;
397000;878;18072;0;1469;
398000;886;18080;0;1079;
399000;900;18407;0;1071;
400000;898;18186;0;1050;
401000;899;18352;0;1163;
402000;890;18330;0;1533;
403000;883;18281;0;1455;
404000;899;18302;0;1299;
405000;876;18020;0;1489;
406000;889;18381;0;1473;
407000;883;18176;0;1685;
408000;896;18057;0;1528;
409000;891;18388;0;1328;
410000;881;18505;0;1554;
411000;881;17961;0;1427;
412000;879;18143;0;1499;
413000;886;17991;0;1111;
414000;892;18383;0;1587;
415000;879;18520;0;1432;
416000;879;18587;0;1513;
417000;871;17996;0;1632;
418000;886;17755;0;1400;
419000;862;18165;0;1624;
420000;894;18050;0;1607;
421000;877;18265;0;1863;
422000;888;18593;0;1440;
423000;887;17673;0;875;
424000;892;17871;0;1385;
425000;870;18064;0;1345;
426000;891;18260;0;1683;
427000;869;17772;0;1888;
428000;879;18405;0;1675;
429000;890;18256;0;1346;
430000;875;18379;0;1593;
431000;884;18072;0;1461;
432000;867;18210;0;1978;
433000;878;17968;0;1545;
434000;887;18288;0;1385;
435000;890;18058;0;1536;
436000;892;18566;0;1100;
437000;899;18184;0;1283;
438000;888;18028;0;1487;
439000;891;18226;0;1354;
440000;871;17970;0;1709;
441000;875;18134;0;1555;
442000;898;18042;0;805;
443000;897;18366;0;1126;
444000;873;18283;0;1850;
445000;880;18484;0;1706;
446000;891;18387;0;1456;
447000;891;18239;0;1373;
448000;895;18346;0;1171;
449000;881;17883;0;1313;
450000;885;18067;0;1319;
451000;893;18732;0;1407;
452000;891;18214;0;1820;
453000;880;17980;0;1505;
454000;882;18800;0;1705;
455000;885;18062;0;1457;
456000;890;18231;0;1404;
457000;891;18362;0;1250;
458000;889;18288;0;1406;
459000;890;18259;0;1114;
460000;900;18293;0;1009;
461000;899;18080;0;1252;
462000;882;18236;0;1272;
463000;888;18487;0;1355;
464000;881;17858;0;1396;
465000;891;18050;0;1763;
466000;888;18299;0;1494;
467000;893;18144;0;1388;
468000;880;18257;0;1432;
469000;906;18585;0;1292;
470000;862;18189;0;1836;
471000;886;18085;0;1409;
472000;878;18227;0;1834;
473000;884;18510;0;1412;
474000;891;18003;0;1578;
475000;880;18111;0;1557;
476000;886;18025;0;1712;
477000;876;18204;0;1454;
478000;877;18339;0;1523;
479000;890;18781;0;1311;
480000;884;17764;0;1420;
481000;890;18380;0;1499;
482000;880;18107;0;1764;
483000;891;18583;0;1119;
484000;896;18232;0;1406;
485000;884;18175;0;1478;
486000;897;18682;0;1216;
487000;894;18276;0;1760;
488000;893;18266;0;1130;
489000;908;18390;0;1109;
490000;890;18070;0;1438;
491000;901;18418;0;1477;
492000;884;18410;0;1421;
493000;884;18493;0;1360;
494000;883;18002;0;1433;
495000;883;18184;0;1391;
496000;859;18094;0;1843;
497000;903;18175;0;1531;
498000;903;18408;0;1394;
499000;899;18321;0;1081;
500000;882;18092;0;1560;
501000;898;18295;0;1502;
502000;899;18383;0;1504;
503000;894;18200;0;1563;
504000;872;17806;0;1560;
505000;885;18035;0;1857;
506000;885;18327;0;1678;
507000;913;18500;0;1239;
508000;878;18396;0;1400;
509000;887;18498;0;1318;
510000;877;18480;0;1440;
511000;891;18085;0;1402;
512000;894;18091;0;1365;
513000;880;18116;0;1164;
514000;877;18049;0;1463;
515000;903;18370;0;1174;
516000;893;18052;0;1312;
517000;892;18306;0;1363;
518000;890;18160;0;1288;
519000;891;18173;0;1380;
520000;888;18304;0;1086;
521000;894;18117;0;1873;
522000;894;18112;0;1640;
523000;872;17857;0;1406;
524000;906;18314;0;1140;
525000;884;18332;0;1559;
526000;885;18176;0;1520;
527000;904;17983;0;1263;
528000;882;18615;0;1535;
529000;890;17830;0;1384;
530000;881;18165;0;1966;
531000;892;18464;0;1360;
532000;875;18233;0;1669;
533000;889;18350;0;1390;
534000;876;18279;0;1857;
535000;907;18297;0;1046;
536000;894;18051;0;1569;
537000;881;18170;0;1488;
538000;892;17847;0;1482;
539000;891;17967;0;1586;
540000;876;18173;0;1601;
541000;890;17863;0;1259;
542000;894;18297;0;1109;
543000;890;18108;0;1173;
544000;878;18298;0;1459;
545000;889;18211;0;1501;
546000;885;17971;0;1725;
547000;885;18249;0;1452;
548000;880;18228;0;1339;
549000;895;18394;0;1270;
550000;893;18185;0;1529;
551000;896;18217;0;1289;
552000;883;18128;0;1506;
553000;886;18320;0;1427;
554000;891;18277;0;1144;
555000;892;18535;0;1508;
556000;885;18098;0;1493;
557000;892;18279;0;1531;
558000;882;18394;0;1347;
559000;883;17889;0;1748;
560000;886;17961;0;1440;
561000;873;17988;0;1500;
562000;889;18417;0;1246;
563000;890;18356;0;1275;
564000;886;18159;0;1432;
565000;891;18476;0;1524;
566000;888;18043;0;1347;
567000;898;18331;0;1356;
568000;899;18341;0;1515;
569000;888;17974;0;1390;
570000;901;18436;0;1299;
571000;885;18387;0;1089;
572000;891;18225;0;1244;
573000;892;18356;0;1175;
574000;895;18227;0;1431;
575000;887;17861;0;1543;
576000;883;18507;0;1450;
577000;881;18243;0;1457;
578000;877;18540;0;1262;
579000;902;18176;0;1035;
580000;892;18428;0;1212;
581000;878;18123;0;1686;
582000;889;18511;0;1353;
583000;892;18058;0;1436;
584000;914;18396;0;850;
