totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;timestamp;
1000;0;1746;0;174945;2022-02-08T12:21:23.822;
2000;0;1956;0;174000;2022-02-08T12:22:24.085;
3000;0;2078;0;174999;2022-02-08T12:23:25.783;
4000;0;2299;0;172038;2022-02-08T12:24:36.277;
5000;0;2866;0;169630;2022-02-08T12:25:53.083;
6000;0;4127;0;161283;2022-02-08T12:28:04.385;
7000;0;6211;0;148337;2022-02-08T12:31:01.652;
8000;0;8885;0;140911;2022-02-08T12:35:26.334;
9000;0;12400;0;132457;2022-02-08T12:41:36.820;
10000;0;14986;0;123490;2022-02-08T12:48:59.972;
11000;0;16741;0;122019;2022-02-08T12:57:11.339;
12000;0;17540;0;121031;2022-02-08T13:05:49.923;
13000;0;18678;0;119095;2022-02-08T13:15:15.888;
14000;0;19560;0;117215;2022-02-08T13:24:52.014;
15000;0;20796;0;114898;2022-02-08T13:35:01.226;
16000;0;21128;0;113546;2022-02-08T13:45:24.228;
17000;0;22284;0;111444;2022-02-08T13:56:30.461;
18000;0;22032;0;111094;2022-02-08T14:07:28.298;
19000;0;23428;0;109692;2022-02-08T14:19:06.935;
20000;0;24331;0;108290;2022-02-08T14:31:07.820;
21000;0;25680;0;103732;2022-02-08T14:43:43.568;
22000;4;26054;0;104393;2022-02-08T14:56:39.608;
23000;4;25774;0;104455;2022-02-08T15:09:37.230;
24000;2;26271;0;105184;2022-02-08T15:22:31.541;
25000;0;27791;0;102233;2022-02-08T15:36:18.429;
26000;6;27080;0;103116;2022-02-08T15:49:41.891;
27000;3;28681;0;100181;2022-02-08T16:03:48.198;
28000;5;28219;0;101852;2022-02-08T16:17:49.183;
29000;3;30375;0;97690;2022-02-08T16:32:37.106;
30000;6;30053;0;97788;2022-02-08T16:47:33.549;
31000;6;32073;0;94316;2022-02-08T17:03:26.600;
32000;9;31226;0;97207;2022-02-08T17:19:01.315;
33000;12;31209;0;96199;2022-02-08T17:34:30.676;
34000;8;32012;0;95393;2022-02-08T17:50:25.554;
