totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
1000;20;6824;24119;2022-04-11T23:49:16.214;
2000;198;11541;17092;2022-04-11T23:51:09.216;
3000;393;13784;13643;2022-04-11T23:53:24.225;
4000;550;15213;12443;2022-04-11T23:55:54.012;
5000;603;16191;10770;2022-04-11T23:58:32.380;
6000;654;16205;9671;2022-04-12T00:01:11.419;
7000;700;16608;10149;2022-04-12T00:03:54.738;
8000;713;16649;10031;2022-04-12T00:06:38.672;
9000;700;16713;10567;2022-04-12T00:09:23.003;
10000;746;17277;7719;2022-04-12T00:12:12.291;
11000;769;17033;8535;2022-04-12T00:14:59.991;
12000;782;17300;7832;2022-04-12T00:17:49.742;
13000;785;17491;7542;2022-04-12T00:20:42.202;
14000;781;17352;8913;2022-04-12T00:23:33.265;
15000;791;17492;8145;2022-04-12T00:26:24.782;
16000;793;17816;7993;2022-04-12T00:29:19.644;
17000;786;17706;7869;2022-04-12T00:32:13.465;
18000;796;17836;7563;2022-04-12T00:35:08.746;
19000;811;17975;7152;2022-04-12T00:38:04.322;
20000;819;17334;6965;2022-04-12T00:40:54.521;
21000;809;17643;7839;2022-04-12T00:43:46.883;
22000;807;17658;7643;2022-04-12T00:46:40.426;
23000;839;18053;6907;2022-04-12T00:49:36.644;
24000;809;17685;7635;2022-04-12T00:52:30.413;
25000;806;17607;8353;2022-04-12T00:55:22.437;
26000;820;17859;7226;2022-04-12T00:58:18.313;
27000;811;17612;8044;2022-04-12T01:01:10.991;
28000;835;18057;7241;2022-04-12T01:04:08.287;
29000;826;18065;6908;2022-04-12T01:07:04.324;
30000;831;18273;6849;2022-04-12T01:10:03.446;
31000;817;17984;7749;2022-04-12T01:13:00.994;
32000;826;18155;7190;2022-04-12T01:15:59.584;
33000;826;18171;7514;2022-04-12T01:18:57.529;
34000;838;18154;7668;2022-04-12T01:21:55.826;
35000;832;18006;7581;2022-04-12T01:24:52.088;
36000;827;17739;6681;2022-04-12T01:27:46.105;
37000;849;18278;6293;2022-04-12T01:30:45.229;
38000;852;18209;6364;2022-04-12T01:33:43.948;
39000;830;17703;7707;2022-04-12T01:36:37.872;
40000;835;18339;7285;2022-04-12T01:39:37.111;
41000;813;17519;8157;2022-04-12T01:42:29.207;
42000;822;17597;8119;2022-04-12T01:45:21.492;
43000;833;17896;7421;2022-04-12T01:48:17.021;
44000;853;18397;6601;2022-04-12T01:51:17.013;
45000;839;18224;7173;2022-04-12T01:54:15.936;
46000;856;18711;6004;2022-04-12T01:57:19.003;
47000;822;17752;8021;2022-04-12T02:00:13.009;
48000;837;17971;7101;2022-04-12T02:03:08.966;
49000;854;18323;7180;2022-04-12T02:06:08.452;
50000;834;17569;7658;2022-04-12T02:09:00.550;
51000;843;18080;7382;2022-04-12T02:11:58.615;
52000;850;17810;6225;2022-04-12T02:14:53.208;
53000;832;17536;7466;2022-04-12T02:17:44.749;
54000;841;17442;7210;2022-04-12T02:20:36.059;
55000;838;17886;7802;2022-04-12T02:23:30.944;
56000;835;17934;8080;2022-04-12T02:26:26.284;
57000;841;17698;7261;2022-04-12T02:29:20.175;
58000;830;17929;7643;2022-04-12T02:32:15.395;
59000;853;18289;7173;2022-04-12T02:35:15.255;
60000;837;17921;7857;2022-04-12T02:38:10.919;
61000;851;17976;6844;2022-04-12T02:41:07.177;
62000;855;18154;6901;2022-04-12T02:44:05.566;
63000;841;17901;7463;2022-04-12T02:47:01.780;
64000;843;18333;7146;2022-04-12T02:50:01.102;
65000;852;18020;7235;2022-04-12T02:52:58.157;
66000;848;17937;7141;2022-04-12T02:55:54.174;
67000;851;18205;7459;2022-04-12T02:58:52.868;
68000;845;17488;7540;2022-04-12T03:01:43.825;
69000;850;18084;6909;2022-04-12T03:04:41.518;
70000;849;18276;7422;2022-04-12T03:07:40.321;
71000;842;18170;7760;2022-04-12T03:10:45.707;
72000;854;18171;6860;2022-04-12T03:13:43.613;
73000;840;17979;7508;2022-04-12T03:16:40.354;
74000;828;17821;7862;2022-04-12T03:19:35.209;
75000;850;18218;7072;2022-04-12T03:22:34.044;
76000;847;17843;6516;2022-04-12T03:25:28.657;
77000;849;17921;7396;2022-04-12T03:28:24.980;
78000;846;17617;7699;2022-04-12T03:31:17.502;
79000;847;18445;6919;2022-04-12T03:34:18.176;
80000;845;17775;7544;2022-04-12T03:37:12.616;
81000;864;17921;6629;2022-04-12T03:40:08.664;
82000;841;18122;8054;2022-04-12T03:43:07.021;
83000;856;18047;6731;2022-04-12T03:46:04.317;
84000;853;18314;7169;2022-04-12T03:49:03.636;
85000;848;18391;6778;2022-04-12T03:52:04.138;
86000;844;17913;6667;2022-04-12T03:54:59.902;
87000;857;18005;6995;2022-04-12T03:57:56.584;
88000;856;18582;6641;2022-04-12T04:00:59.538;
89000;845;18213;7750;2022-04-12T04:03:57.772;
90000;884;18601;6060;2022-04-12T04:07:00.596;
91000;847;18092;7670;2022-04-12T04:09:58.312;
92000;853;18219;7060;2022-04-12T04:12:56.904;
93000;877;18342;6284;2022-04-12T04:15:56.882;
94000;870;18544;6240;2022-04-12T04:18:59.035;
95000;853;18327;7254;2022-04-12T04:21:59.289;
96000;856;18141;6764;2022-04-12T04:24:56.754;
97000;850;18047;7377;2022-04-12T04:27:53.421;
98000;871;18361;6582;2022-04-12T04:30:53.765;
99000;867;18226;6224;2022-04-12T04:33:53.050;
100000;861;18264;6026;2022-04-12T04:36:51.200;
101000;862;18324;6987;2022-04-12T04:39:50.695;
102000;874;18316;6490;2022-04-12T04:42:49.583;
103000;869;18144;6538;2022-04-12T04:45:46.479;
104000;857;17988;6545;2022-04-12T04:48:43.399;
105000;857;17902;6290;2022-04-12T04:51:38.261;
106000;864;18572;6322;2022-04-12T04:54:38.959;
107000;862;18324;6950;2022-04-12T04:57:38.925;
108000;861;18264;6645;2022-04-12T05:00:37.297;
109000;854;17553;7400;2022-04-12T05:03:28.722;
