totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;timestamp;
1000;763;16128;0;13316;2022-02-27T14:30:33.836;
2000;791;17197;0;10360;2022-02-27T14:32:32.911;
3000;807;17624;0;8796;2022-02-27T14:34:36.374;
4000;817;18179;0;7157;2022-02-27T14:36:42.736;
5000;813;17456;0;8487;2022-02-27T14:38:41.990;
6000;780;17126;0;9738;2022-02-27T14:40:44.197;
7000;805;17067;0;8755;2022-02-27T14:42:42.154;
8000;821;17788;0;7604;2022-02-27T14:44:47.345;
9000;805;17991;0;8786;2022-02-27T14:46:54.568;
10000;815;17636;0;8097;2022-02-27T14:48:54.885;
11000;813;17551;0;8831;2022-02-27T14:50:56.374;
12000;827;18010;0;7402;2022-02-27T14:53:02.113;
13000;831;17702;0;7643;2022-02-27T14:55:06.070;
14000;833;18093;0;6911;2022-02-27T14:57:09.700;
15000;838;17994;0;7796;2022-02-27T14:59:15.080;
16000;816;17806;0;8141;2022-02-27T15:01:20.288;
17000;815;17646;0;7674;2022-02-27T15:03:20.481;
18000;812;17893;0;8421;2022-02-27T15:05:25.561;
19000;833;17923;0;7749;2022-02-27T15:07:29.996;
20000;812;17440;0;8669;2022-02-27T15:09:31.170;
21000;794;17361;0;8620;2022-02-27T15:11:32.798;
22000;827;17571;0;7614;2022-02-27T15:13:32.546;
23000;805;17050;0;9065;2022-02-27T15:15:30.279;
24000;799;17387;0;9258;2022-02-27T15:17:31.574;
25000;814;17649;0;8719;2022-02-27T15:19:33.588;
26000;804;17566;0;9142;2022-02-27T15:21:34.962;
27000;816;17267;0;8426;2022-02-27T15:23:33.789;
28000;790;17446;0;8954;2022-02-27T15:25:34.287;
29000;813;17329;0;9155;2022-02-27T15:27:32.599;
30000;787;17359;0;9394;2022-02-27T15:29:30.974;
31000;822;17680;0;8124;2022-02-27T15:31:32.254;
32000;816;17309;0;7911;2022-02-27T15:33:32.175;
33000;800;17012;0;8956;2022-02-27T15:35:29.081;
34000;809;17115;0;8760;2022-02-27T15:37:26.487;
35000;810;17646;0;8231;2022-02-27T15:39:27.315;
36000;796;17382;0;9016;2022-02-27T15:41:26.487;
37000;821;17446;0;7969;2022-02-27T15:43:26.862;
38000;825;17553;0;7361;2022-02-27T15:45:27.408;
39000;813;17537;0;8424;2022-02-27T15:47:27.799;
40000;822;17555;0;7925;2022-02-27T15:49:26.721;
41000;829;17428;0;7820;2022-02-27T15:51:27.018;
42000;814;18091;0;8165;2022-02-27T15:53:32.596;
43000;813;17488;0;8902;2022-02-27T15:55:33.300;
44000;832;17740;0;7979;2022-02-27T15:57:34.566;
45000;805;17177;0;8829;2022-02-27T15:59:31.832;
46000;820;17528;0;8460;2022-02-27T16:01:31.786;
47000;819;18017;0;7434;2022-02-27T16:03:36.833;
48000;807;17611;0;8714;2022-02-27T16:05:38.256;
49000;816;17546;0;8215;2022-02-27T16:07:38.944;
50000;831;17498;0;7283;2022-02-27T16:09:38.055;
51000;815;17697;0;8905;2022-02-27T16:11:40.712;
52000;807;17613;0;7367;2022-02-27T16:13:43.291;
53000;818;17783;0;8040;2022-02-27T16:15:46.589;
54000;790;17428;0;9524;2022-02-27T16:17:46.059;
55000;807;17648;0;8475;2022-02-27T16:19:47.560;
56000;837;17774;0;7666;2022-02-27T16:21:50.124;
57000;806;17542;0;8683;2022-02-27T16:23:50.610;
58000;795;17244;0;8997;2022-02-27T16:25:50.408;
59000;819;17144;0;8249;2022-02-27T16:27:48.567;
60000;831;17707;0;8243;2022-02-27T16:29:49.037;
61000;811;17566;0;8399;2022-02-27T16:31:49.039;
62000;816;17554;0;8458;2022-02-27T16:33:51.353;
63000;813;17448;0;8100;2022-02-27T16:35:51.793;
64000;803;17392;0;8441;2022-02-27T16:37:51.701;
65000;808;17107;0;8711;2022-02-27T16:39:50.391;
66000;801;17131;0;9374;2022-02-27T16:41:47.581;
67000;817;17541;0;8812;2022-02-27T16:43:48.302;
68000;823;17440;0;8088;2022-02-27T16:45:47.039;
69000;829;18093;0;7662;2022-02-27T16:47:52.619;
70000;813;17811;0;7803;2022-02-27T16:49:56.402;
71000;819;18294;0;7877;2022-02-27T16:52:00.170;
72000;821;17521;0;8035;2022-02-27T16:54:02.204;
73000;824;17842;0;8309;2022-02-27T16:56:06.878;
74000;803;17272;0;9396;2022-02-27T16:58:06.240;
75000;853;17838;0;6748;2022-02-27T17:00:07.274;
76000;828;18157;0;8061;2022-02-27T17:02:14.479;
77000;842;17816;0;7188;2022-02-27T17:04:17.419;
78000;808;17471;0;8802;2022-02-27T17:06:16.782;
79000;832;17853;0;7599;2022-02-27T17:08:20.519;
80000;834;18042;0;7089;2022-02-27T17:10:28.194;
81000;806;17307;0;8913;2022-02-27T17:12:27.384;
82000;813;17480;0;7314;2022-02-27T17:14:28.372;
83000;840;18054;0;7567;2022-02-27T17:16:31.453;
84000;849;18125;0;6840;2022-02-27T17:18:36.737;
85000;828;17655;0;8211;2022-02-27T17:20:39.146;
86000;825;17827;0;7488;2022-02-27T17:22:40.025;
87000;827;18028;0;8113;2022-02-27T17:24:45.028;
88000;789;17283;0;10094;2022-02-27T17:26:44.687;
89000;825;17687;0;8143;2022-02-27T17:28:48.440;
90000;810;17226;0;8731;2022-02-27T17:30:46.476;
91000;839;18030;0;7276;2022-02-27T17:32:48.776;
92000;834;17856;0;8197;2022-02-27T17:34:53.513;
93000;819;17583;0;8202;2022-02-27T17:36:55.658;
94000;834;17846;0;8096;2022-02-27T17:38:58.067;
95000;831;17823;0;7278;2022-02-27T17:40:58.446;
96000;826;17735;0;8308;2022-02-27T17:43:01.309;
97000;810;17725;0;8338;2022-02-27T17:45:02.782;
98000;831;17802;0;7497;2022-02-27T17:47:06.035;
99000;834;17649;0;8238;2022-02-27T17:49:06.617;
100000;845;18089;0;6721;2022-02-27T17:51:12.543;
101000;810;17896;0;8679;2022-02-27T17:53:17.484;
102000;796;17058;0;9105;2022-02-27T17:55:14.629;
103000;824;17464;0;8214;2022-02-27T17:57:13.805;
104000;825;17654;0;7399;2022-02-27T17:59:14.621;
