totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
10000;103;62783;52886;189794;
20000;269;77021;67290;165910;
30000;406;84977;75383;156088;
40000;626;88982;79609;147276;
50000;760;91048;81807;144149;
60000;873;95473;86346;141636;
70000;1043;97127;88170;139081;
80000;1263;98649;89912;134002;
90000;1406;102895;94301;128299;
100000;1622;103988;95610;125483;
110000;1844;106524;98368;126104;
120000;1982;107309;99291;121995;
130000;1992;107208;99200;119396;
140000;2138;109888;102026;117920;
150000;2286;110475;102761;119959;
160000;2298;110898;103197;116288;
170000;2498;110275;102773;114258;
180000;2557;112785;105341;113174;
190000;2561;113837;106399;115104;
200000;2685;114147;106831;108776;
210000;2786;114817;107603;107940;
220000;2700;114772;107473;110492;
230000;2893;117039;109932;109051;
240000;2883;116971;109854;107433;
250000;2951;115708;108659;108524;
260000;2827;113884;106711;111205;
270000;2974;117141;110114;107180;
280000;3009;118175;111184;106877;
290000;2924;117323;110248;108651;
300000;2979;118555;111534;108129;
310000;3123;118882;112005;105378;
320000;3120;118139;111258;107749;
330000;2986;116913;109899;110053;
340000;3219;119837;113056;108327;
350000;3166;118951;112118;108033;
360000;3265;119878;113142;103998;
370000;3338;120038;113376;104138;
380000;3232;119852;113084;103521;
390000;3145;117660;110805;104911;
400000;3261;120011;113272;103101;
410000;3294;119774;113069;103890;
420000;3180;119376;112556;106363;
430000;3306;118648;111953;106529;
440000;3459;122755;116214;100844;
450000;3445;121963;115408;104247;
460000;3476;123215;116691;98987;
470000;3410;121400;114811;101980;
480000;3463;121972;115434;101824;
490000;3360;120921;114282;102076;
500000;3443;120379;113821;103092;
510000;3382;121172;114555;103276;
520000;3447;121505;114951;104495;
530000;3237;120160;113398;103474;
540000;3335;120367;113702;105232;
550000;3478;122027;115505;101041;
560000;3531;122377;115907;103947;
570000;3464;121399;114864;101860;
580000;3664;122526;116189;100508;
590000;3661;122568;116230;99367;
600000;3485;120859;114343;100475;
610000;3543;122570;116114;100552;
620000;3661;123185;116846;96834;
630000;3485;120112;113596;102369;
640000;3667;123466;117133;98608;
650000;3605;121348;114953;100394;
660000;3555;121270;114826;104252;
670000;3731;124616;118347;98731;
680000;3671;124658;118328;98343;
690000;3555;123224;116779;101083;
700000;3549;121574;115123;103236;
710000;3744;124548;118292;97839;
720000;3731;124517;118249;96312;
730000;3427;120554;113980;102236;
740000;3501;121831;115332;101207;
750000;3700;122973;116674;97174;
760000;3578;121697;115275;102210;
770000;3669;124472;118140;98930;
780000;3612;122366;115978;100097;
790000;3430;121689;115119;101953;
800000;3609;123088;116697;98011;
810000;3678;123586;117264;95639;
820000;3571;122509;116080;99924;
830000;3577;124027;117604;97302;
840000;3597;122356;115953;100648;
850000;3578;121504;115082;100248;
860000;3685;122642;116328;97948;
870000;3760;123936;117695;98665;
880000;3756;124423;118179;99391;
890000;3709;123755;117464;99565;
900000;3594;122147;115742;98889;
910000;3544;123280;116824;102363;
920000;3623;122323;115945;99040;
930000;3723;123250;116974;97510;
940000;3694;123238;116931;99759;
950000;3808;124072;117880;95136;
960000;3702;123233;116936;96974;
970000;3731;123437;117168;99724;
980000;3680;124365;118044;97957;
990000;3539;124706;118245;100445;
1000000;3753;124925;118678;98276;
1010000;3721;123609;117330;95447;
1020000;3680;124456;118136;98063;
1030000;3679;125109;118788;98954;
1040000;3791;126033;119825;96983;
1050000;3654;125279;118933;97519;
1060000;3755;124870;118624;95418;
1070000;3679;125597;119277;97316;
1080000;3705;124185;117889;99134;
1090000;3736;123605;117342;97602;
1100000;3865;124788;118653;96476;
1110000;3694;124513;118207;99875;
1120000;3613;122776;116388;100113;
1130000;3766;124769;118535;96632;
1140000;3672;123826;117498;99142;
1150000;3654;124725;118380;100203;
1160000;3724;124137;117861;97431;
1170000;3709;124986;118695;96725;
1180000;3857;125110;118966;93222;
1190000;3838;124606;118445;92984;
1200000;3771;125415;119186;96789;
1210000;3647;123616;117263;97268;
1220000;3688;122512;116200;100691;
1230000;3782;124357;118138;96369;
1240000;3618;123251;116870;101883;
1250000;3766;125345;119111;99295;
1260000;3853;125000;118852;98651;
1270000;3674;123918;117592;97115;
1280000;3798;125096;118894;95253;
1290000;3723;123427;117150;98750;
1300000;3628;122938;116566;101339;
1310000;3779;125852;119631;99484;
1320000;3650;123501;117151;98139;
1330000;3778;124834;118612;96794;
1340000;3718;124276;117995;95711;
1350000;3627;123754;117380;100081;
1360000;3695;124173;117868;99704;
1370000;3800;123801;117601;97396;
1380000;3828;125181;119009;96297;
1390000;3731;126550;120282;96842;
1400000;3724;125574;119297;98203;
1410000;3797;125433;119231;97197;
1420000;3834;127414;121248;93858;
1430000;3778;123890;117668;98238;
1440000;3788;124271;118058;97626;
1450000;3852;124825;118677;94324;
1460000;3720;125466;119186;97862;
1470000;3966;126858;120825;95408;
1480000;3854;125821;119675;97584;
1490000;3875;124763;118638;96673;
1500000;3936;125705;119641;96370;
