totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
1000;133;93177;208442;2022-04-12T00:10:03.913;
2000;141;87938;216333;2022-04-12T00:39:11.651;
3000;128;87604;218075;2022-04-12T01:08:11.785;
4000;134;87660;217876;2022-04-12T01:37:14.657;
5000;149;91266;213227;2022-04-12T02:07:28.896;
6000;160;93785;207954;2022-04-12T02:38:30.727;
7000;161;98272;198928;2022-04-12T03:11:04.618;
8000;166;100366;196887;2022-04-12T03:44:14.442;
9000;189;104357;190599;2022-04-12T04:18:44.856;
10000;168;101813;192550;2022-04-12T04:52:26.822;
11000;159;98908;198892;2022-04-12T05:25:10.113;
12000;189;97294;202074;2022-04-12T05:57:24.382;
13000;187;100424;196355;2022-04-12T06:30:39.902;
14000;169;102156;193625;2022-04-12T07:04:28.975;
15000;200;103028;192532;2022-04-12T07:38:35.619;
16000;186;102218;192721;2022-04-12T08:12:26.347;
17000;168;98358;198792;2022-04-12T08:45:02.200;
18000;178;103887;190998;2022-04-12T09:19:23.658;
19000;175;97518;201697;2022-04-12T09:51:43.089;
20000;170;102363;192420;2022-04-12T10:25:34.195;
21000;172;99149;198818;2022-04-12T10:58:25.966;
22000;163;97993;200200;2022-04-12T11:30:52.960;
23000;182;100937;196911;2022-04-12T12:04:19.932;
24000;154;95869;203097;2022-04-12T12:36:02.799;
25000;179;98907;197414;2022-04-12T13:08:47.467;
26000;207;106333;186433;2022-04-12T13:44:01.589;
27000;177;98391;200754;2022-04-12T14:16:35.694;
28000;175;105576;188720;2022-04-12T14:51:32.184;
29000;200;107107;186244;2022-04-12T15:27:12.475;
30000;175;108418;182562;2022-04-12T16:03:13.760;
31000;192;99136;198058;2022-04-12T16:36:05.112;
32000;203;104735;188759;2022-04-12T17:10:44.183;
33000;168;95081;206804;2022-04-12T17:42:14.062;
34000;170;103815;188618;2022-04-12T18:16:37.299;
35000;188;103371;189821;2022-04-12T18:50:54.417;
36000;176;103535;189049;2022-04-12T19:25:21.892;
37000;170;100276;195556;2022-04-12T19:58:38.691;
38000;169;103431;192201;2022-04-12T20:32:55.368;
39000;211;112226;176152;2022-04-12T21:10:07.341;
40000;195;99647;199349;2022-04-12T21:43:06.019;
41000;176;100728;194173;2022-04-12T22:16:29.381;
42000;184;103048;191520;2022-04-12T22:50:35.946;
43000;192;105438;187802;2022-04-12T23:25:30.849;
44000;194;95210;206377;2022-04-12T23:57:12.970;
45000;174;99917;198426;2022-04-13T00:30:15.786;
46000;195;101414;194402;2022-04-13T01:03:41.232;
47000;198;96661;203748;2022-04-13T01:35:33.290;
48000;196;101708;194154;2022-04-13T02:09:06.709;
49000;170;99995;197597;2022-04-13T02:42:06.171;
50000;176;102436;192119;2022-04-13T03:15:53.197;
51000;193;102396;193436;2022-04-13T03:49:45.725;
52000;194;107026;184886;2022-04-13T04:25:03.133;
53000;197;102585;192797;2022-04-13T04:58:52.561;
54000;183;98833;199559;2022-04-13T05:31:26.683;
55000;199;106516;185872;2022-04-13T06:06:35.337;
56000;193;102866;190934;2022-04-13T06:40:28.710;
57000;182;99633;197673;2022-04-13T07:13:18.961;
58000;205;106439;185688;2022-04-13T07:48:22.454;
59000;207;103483;190478;2022-04-13T08:22:32.897;
60000;166;102017;193175;2022-04-13T08:56:10.385;
61000;161;99399;197421;2022-04-13T09:28:55.777;
62000;171;98780;200660;2022-04-13T10:01:30.945;
63000;208;106903;183819;2022-04-13T10:36:44.962;
64000;180;102487;192942;2022-04-13T11:10:37.236;
65000;200;106417;186579;2022-04-13T11:45:50.141;
66000;173;94674;207985;2022-04-13T12:17:18.556;
67000;192;104708;187439;2022-04-13T12:51:51.882;
68000;190;106930;185633;2022-04-13T13:21:14.491;
69000;177;100515;197202;2022-04-13T13:46:59.112;
70000;173;98807;198076;2022-04-13T14:12:21.485;
71000;208;104508;189285;2022-04-13T14:39:02.793;
72000;186;104415;187932;2022-04-13T15:05:38.232;
73000;208;107444;182526;2022-04-13T15:32:58.010;
74000;187;101436;194982;2022-04-13T15:58:50.234;
75000;188;98400;201040;2022-04-13T16:24:06.142;
76000;200;109040;181653;2022-04-13T16:51:57.035;
77000;221;110608;178613;2022-04-13T17:20:15.615;
78000;185;103825;190222;2022-04-13T17:46:44.946;
79000;179;103236;190822;2022-04-13T18:13:07.614;
80000;183;102287;193480;2022-04-13T18:39:12.908;
81000;189;103956;190354;2022-04-13T19:05:47.838;
82000;199;110683;178253;2022-04-13T19:34:01.287;
83000;206;104403;190184;2022-04-13T20:00:42.807;
84000;186;100602;196650;2022-04-13T20:26:23.578;
85000;177;100495;196601;2022-04-13T20:51:58.442;
86000;177;100677;196009;2022-04-13T21:17:35.204;
87000;186;99262;197870;2022-04-13T21:42:50.458;
88000;170;98333;199899;2022-04-13T22:07:54.515;
89000;199;101044;195946;2022-04-13T22:33:36.082;
90000;187;103968;191048;2022-04-13T23:00:03.954;
91000;201;102839;193403;2022-04-13T23:27:21.818;
92000;172;96290;203412;2022-04-13T23:52:06.537;
93000;186;100407;196119;2022-04-14T00:21:39.629;
94000;167;98837;199496;2022-04-14T01:01:14.222;
95000;191;104095;189092;2022-04-14T01:42:46.276;
96000;169;103974;189664;2022-04-14T02:24:19.531;
97000;200;102896;191993;2022-04-14T03:05:28.061;
98000;194;102698;193963;2022-04-14T03:46:29.100;
99000;173;101224;195864;2022-04-14T04:27:05.252;
100000;185;102077;193662;2022-04-14T05:07:58.946;
101000;183;104427;189516;2022-04-14T05:49:45.407;
102000;168;96931;200864;2022-04-14T06:28:27.969;
103000;204;101723;195161;2022-04-14T07:09:06.956;
104000;185;102170;194045;2022-04-14T07:49:59.122;
105000;206;104607;188664;2022-04-14T08:31:49.888;
106000;210;107503;185637;2022-04-14T09:14:49.589;
107000;179;100357;197925;2022-04-14T09:54:57.394;
108000;185;103432;191908;2022-04-14T10:36:44.799;
109000;207;109922;180277;2022-04-14T11:20:44.764;
110000;192;99509;198556;2022-04-14T12:00:34.820;
111000;187;103281;191127;2022-04-14T12:42:02.403;
112000;183;96462;203270;2022-04-14T13:20:35.599;
113000;196;105496;188644;2022-04-14T14:02:52.963;
114000;195;96928;203078;2022-04-14T14:41:35.024;
115000;196;106853;185076;2022-04-14T15:24:13.556;
116000;182;101093;195649;2022-04-14T16:04:38.883;
117000;189;103215;191524;2022-04-14T16:45:56.898;
118000;200;104841;188039;2022-04-14T17:27:52.364;
119000;211;104309;191039;2022-04-14T18:09:29.687;
120000;184;100643;196798;2022-04-14T18:49:39.390;
121000;170;98503;199151;2022-04-14T19:28:54.762;
122000;219;107248;185993;2022-04-14T20:11:37.504;
123000;197;102030;195255;2022-04-14T20:52:16.822;
124000;192;104084;191257;2022-04-14T21:33:46.603;
125000;205;101218;194830;2022-04-14T22:14:05.240;
126000;169;100840;195371;2022-04-14T22:54:16.699;
127000;183;95705;204772;2022-04-14T23:32:21.959;
128000;166;96011;202937;2022-04-15T00:10:40.371;
129000;195;100531;196314;2022-04-15T00:50:47.337;
130000;197;99046;198516;2022-04-15T01:30:14.021;
131000;191;102072;192137;2022-04-15T02:11:07.918;
132000;190;100952;194898;2022-04-15T02:51:18.746;
133000;183;100601;195515;2022-04-15T03:31:23.554;
134000;172;96958;203955;2022-04-15T04:10:11.955;
135000;168;91787;211646;2022-04-15T04:46:46.744;
136000;188;105976;187658;2022-04-15T05:28:58.914;
137000;184;102396;192049;2022-04-15T06:09:45.012;
138000;155;90787;212322;2022-04-15T06:45:58.073;
139000;185;100416;195753;2022-04-15T07:25:57.942;
140000;176;99311;199774;2022-04-15T08:05:34.714;
141000;211;101871;194430;2022-04-15T08:46:07.725;
142000;182;102589;192486;2022-04-15T09:27:02.098;
143000;181;101247;195815;2022-04-15T10:07:25.485;
144000;182;98401;199905;2022-04-15T10:46:40.360;
145000;194;102884;192813;2022-04-15T11:27:40.370;
146000;170;96884;203784;2022-04-15T12:06:14.281;
147000;212;106015;187796;2022-04-15T12:48:27.947;
148000;181;102387;191797;2022-04-15T13:31:32.669;
149000;204;106750;186750;2022-04-15T14:17:09.953;
150000;223;110930;178535;2022-04-15T15:04:20.690;
151000;206;103539;191191;2022-04-15T15:49:10.506;
152000;200;101303;197166;2022-04-15T16:32:25.165;
153000;212;105802;186549;2022-04-15T17:16:24.074;
154000;223;109230;181757;2022-04-15T18:00:14.260;
155000;180;104122;190051;2022-04-15T18:41:41.594;
156000;192;97451;200214;2022-04-15T19:20:29.470;
157000;205;102201;194653;2022-04-15T20:01:12.655;
158000;210;101547;194862;2022-04-15T20:41:35.533;
159000;198;105549;188578;2022-04-15T21:23:37.132;
160000;179;98951;199233;2022-04-15T22:03:00.433;
161000;228;111926;177864;2022-04-15T22:47:37.498;
162000;211;106184;186343;2022-04-15T23:29:50.432;
163000;162;95076;205630;2022-04-16T00:07:45.914;
164000;206;107569;186141;2022-04-16T00:50:35.597;
165000;189;104739;189187;2022-04-16T01:32:19.478;
166000;196;107099;184725;2022-04-16T02:15:04.433;
167000;191;103487;190552;2022-04-16T02:56:20.367;
168000;204;101439;194496;2022-04-16T03:36:50.028;
169000;184;100312;196584;2022-04-16T04:16:49.535;
170000;196;99993;196725;2022-04-16T04:56:42.108;
171000;200;106599;187449;2022-04-16T05:39:09.857;
172000;187;103441;191354;2022-04-16T06:20:23.220;
173000;197;106421;185861;2022-04-16T07:02:48.969;
174000;185;101792;195239;2022-04-16T07:43:24.535;
175000;207;105186;190054;2022-04-16T08:25:18.548;
176000;191;105567;187148;2022-04-16T09:07:22.708;
177000;172;100682;196202;2022-04-16T09:47:36.744;
178000;214;106768;187230;2022-04-16T10:30:10.715;
179000;174;104852;189608;2022-04-16T11:11:54.450;
180000;179;103807;191593;2022-04-16T11:53:12.979;
181000;191;102397;193756;2022-04-16T12:34:01.384;
182000;196;105838;187896;2022-04-16T13:16:06.775;
183000;180;99326;198373;2022-04-16T13:55:35.028;
184000;198;101514;192081;2022-04-16T14:36:01.623;
185000;197;99962;198971;2022-04-16T15:15:47.112;
186000;181;101107;195367;2022-04-16T15:55:57.204;
187000;183;103517;190711;2022-04-16T16:37:08.936;
188000;182;100515;196424;2022-04-16T17:17:09.728;
189000;171;99313;198817;2022-04-16T17:56:45.290;
190000;193;100140;197407;2022-04-16T18:36:40.503;
191000;141;86121;219896;2022-04-16T19:10:58.511;
192000;168;98627;199646;2022-04-16T19:50:13.711;
193000;165;97543;201998;2022-04-16T20:29:05.206;
194000;193;102294;193711;2022-04-16T21:09:46.923;
195000;184;98846;198999;2022-04-16T21:49:08.585;
196000;184;101733;193295;2022-04-16T22:29:40.766;
197000;176;96280;204367;2022-04-16T23:08:04.929;
198000;186;102473;191718;2022-04-16T23:48:55.281;
199000;162;93438;209305;2022-04-17T00:26:14.728;
200000;210;100761;196210;2022-04-17T01:06:23.762;
201000;182;99546;198167;2022-04-17T01:46:04.177;
202000;175;97649;200477;2022-04-17T02:25:00.617;
203000;186;101328;195153;2022-04-17T03:05:26.583;
204000;190;99635;197455;2022-04-17T03:45:12.863;
205000;197;104452;189769;2022-04-17T04:26:50.614;
206000;208;102876;191888;2022-04-17T05:07:52.813;
207000;187;99982;197871;2022-04-17T05:47:40.547;
208000;217;106293;187248;2022-04-17T06:29:58.409;
209000;180;97982;201518;2022-04-17T07:08:59.244;
210000;192;103205;192269;2022-04-17T07:50:04.002;
211000;165;97704;200658;2022-04-17T08:28:59.350;
212000;168;99526;197779;2022-04-17T09:08:35.966;
213000;177;96475;205140;2022-04-17T09:47:02.667;
214000;198;98976;200007;2022-04-17T10:26:27.224;
