totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;1881;0;32889;
2000;0;1936;0;32372;
3000;0;1931;0;32285;
4000;0;2215;0;31468;
5000;13;5749;0;23710;
6000;49;7504;0;20655;
7000;84;8727;0;19890;
8000;87;8624;0;20049;
9000;116;8371;0;20684;
10000;119;8603;0;20358;
11000;133;8870;0;19421;
12000;105;8630;0;19968;
13000;174;8876;0;19725;
14000;152;9065;0;19751;
15000;196;9891;0;18047;
16000;153;8795;0;19473;
17000;200;9707;0;17406;
18000;202;9977;0;17707;
19000;201;10004;0;17205;
20000;229;10113;0;17108;
21000;224;10267;0;17840;
22000;237;10186;0;17169;
23000;236;10325;0;17530;
24000;260;10420;0;17363;
25000;227;9914;0;17933;
26000;275;10855;0;16559;
27000;268;10508;0;17353;
28000;283;10422;0;17384;
29000;285;10551;0;16588;
30000;284;10454;0;16494;
31000;319;11214;0;16096;
32000;294;10916;0;15913;
33000;314;10913;0;16333;
34000;345;11404;0;15665;
35000;305;10762;0;16380;
36000;328;10800;0;16152;
37000;313;10539;0;16732;
38000;311;10608;0;16341;
39000;326;10767;0;16251;
40000;346;10874;0;15772;
41000;336;11000;0;15483;
42000;335;10926;0;16583;
43000;341;10827;0;16477;
44000;377;11395;0;15272;
45000;369;11643;0;14278;
46000;342;10810;0;16339;
47000;363;11235;0;15638;
48000;363;11067;0;15327;
49000;354;10822;0;15521;
50000;383;11642;0;14964;
51000;358;11496;0;15701;
52000;401;11538;0;15392;
53000;381;11222;0;15176;
54000;364;10522;0;17775;
55000;404;11389;0;14564;
56000;409;11480;0;14637;
57000;413;11175;0;14736;
58000;366;10835;0;16347;
59000;395;11451;0;15169;
60000;361;10849;0;16372;
61000;437;12000;0;13915;
62000;405;11451;0;15240;
63000;393;11245;0;15422;
64000;398;11378;0;15203;
65000;399;11179;0;16084;
66000;425;11751;0;14601;
67000;397;11517;0;14847;
68000;433;11806;0;14272;
69000;428;11621;0;14258;
70000;413;11386;0;14864;
71000;419;11466;0;15140;
72000;423;11671;0;14013;
73000;389;11479;0;14865;
74000;421;11419;0;15577;
75000;449;12474;0;14105;
76000;413;11363;0;15374;
77000;416;12020;0;14910;
78000;392;10939;0;16278;
79000;405;11235;0;15436;
80000;416;11853;0;14901;
81000;423;11790;0;15154;
82000;438;11953;0;13613;
83000;457;12010;0;14488;
84000;432;11797;0;14753;
85000;421;11737;0;14386;
86000;417;11795;0;14910;
87000;436;11486;0;15587;
88000;422;11694;0;14666;
89000;432;11584;0;14950;
90000;472;12407;0;13481;
91000;452;12212;0;14064;
92000;432;11564;0;14830;
93000;427;11960;0;14631;
94000;429;11925;0;14204;
95000;444;11829;0;14765;
96000;431;11793;0;14649;
97000;443;11998;0;13810;
98000;477;12305;0;12897;
99000;452;11801;0;14676;
100000;423;11315;0;15370;
101000;458;12281;0;13961;
102000;449;11924;0;14578;
103000;473;12200;0;13903;
104000;444;11850;0;14144;
105000;462;12225;0;14165;
106000;467;12211;0;14019;
