totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
1000;528;60859;56403;2022-04-07T19:31:48.631;
2000;547;60500;55861;2022-04-07T19:44:15.678;
3000;566;61660;56339;2022-04-07T19:56:57.480;
4000;584;63866;50752;2022-04-07T20:10:01.900;
5000;608;65575;47481;2022-04-07T20:23:27.654;
6000;616;65357;47442;2022-04-07T20:36:53.292;
7000;581;64401;50602;2022-04-07T20:50:04.048;
8000;586;63740;52341;2022-04-07T21:03:06.381;
9000;625;65038;49888;2022-04-07T21:16:24.994;
10000;623;65672;48542;2022-04-07T21:29:51.702;
11000;621;65089;50157;2022-04-07T21:43:10.570;
12000;614;64550;50546;2022-04-07T21:56:23.518;
13000;628;65076;47049;2022-04-07T22:09:42.129;
14000;618;65111;49199;2022-04-07T22:23:01.710;
15000;630;66292;45430;2022-04-07T22:36:34.652;
16000;611;63398;50632;2022-04-07T22:49:34.189;
17000;636;65549;46183;2022-04-07T23:03:00.087;
18000;631;65091;49189;2022-04-07T23:16:20.183;
19000;629;66371;44296;2022-04-07T23:29:58.078;
20000;603;63489;53389;2022-04-07T23:42:59.322;
21000;645;67092;43344;2022-04-07T23:56:45.324;
22000;642;66975;44797;2022-04-08T00:10:29.175;
23000;620;64860;49487;2022-04-08T00:23:48.202;
24000;600;64311;50553;2022-04-08T00:36:57.784;
25000;609;63565;50386;2022-04-08T00:49:59.451;
26000;614;62263;54181;2022-04-08T01:02:44.827;
27000;629;65411;48284;2022-04-08T01:16:09.525;
28000;621;65419;48862;2022-04-08T01:29:34.163;
29000;638;65457;46925;2022-04-08T01:42:58.514;
30000;606;63144;53011;2022-04-08T01:55:59.830;
31000;654;67265;42766;2022-04-08T02:09:51.308;
32000;642;65931;45451;2022-04-08T02:23:20.850;
33000;619;63586;50411;2022-04-08T02:36:21.525;
34000;619;64576;50191;2022-04-08T02:49:36.100;
35000;664;66314;44720;2022-04-08T03:03:17.024;
36000;619;65528;48900;2022-04-08T03:16:40.849;
37000;646;66683;45224;2022-04-08T03:30:18.717;
38000;616;64982;48623;2022-04-08T03:43:34.268;
39000;624;65112;49790;2022-04-08T03:56:51.342;
