totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;timestamp;
1000;0;2662;0;360527;2022-03-11T15:15:02.605;
2000;0;3992;0;355982;2022-03-11T15:17:41.653;
3000;0;10076;0;342354;2022-03-11T15:24:05.541;
4000;0;18013;0;323338;2022-03-11T15:35:26.307;
5000;0;26978;0;309422;2022-03-11T15:52:38.094;
6000;0;35611;0;294422;2022-03-11T16:15:33.395;
7000;1;40683;0;287431;2022-03-11T16:41:26.760;
8000;1;46422;0;277674;2022-03-11T17:11:04.095;
9000;4;53222;0;267937;2022-03-11T17:43:00.374;
10000;12;57746;0;257862;2022-03-11T18:17:00.546;
11000;11;61511;0;251963;2022-03-11T18:52:53;
12000;13;59906;0;256545;2022-03-11T19:27:52.792;
13000;26;63606;0;247208;2022-03-11T20:01:29.223;
14000;31;67830;0;242139;2022-03-11T20:38:21.103;
15000;34;73451;0;231500;2022-03-11T21:02:09.737;
16000;39;75864;0;226689;2022-03-11T21:26:43.342;
17000;47;78943;0;222863;2022-03-11T21:52:17.869;
18000;60;82046;0;217735;2022-03-11T22:18:52.763;
19000;76;85074;0;214704;2022-03-11T22:46:31.098;
20000;58;83453;0;216701;2022-03-11T23:13:37.212;
21000;72;87788;0;208378;2022-03-11T23:42:09.684;
22000;92;86656;0;210457;2022-03-12T00:10:14.983;
23000;77;91536;0;201333;2022-03-12T00:39:55.877;
24000;89;89924;0;205120;2022-03-12T01:09:04.040;
25000;91;93700;0;198639;2022-03-12T01:39:37.361;
26000;85;91823;0;204325;2022-03-12T02:09:23.270;
27000;90;97820;0;191196;2022-03-12T02:41:05.753;
28000;94;92203;0;202278;2022-03-12T03:10:57.247;
29000;90;96083;0;194137;2022-03-12T03:42:13.235;
30000;97;94024;0;199552;2022-03-12T04:12:40.081;
31000;99;97621;0;192673;2022-03-12T04:44:15.801;
32000;122;99673;0;189475;2022-03-12T05:16:30.553;
33000;112;98918;0;191419;2022-03-12T05:48:30.130;
34000;116;105250;0;179172;2022-03-12T06:22:36.002;
35000;119;102672;0;183684;2022-03-12T06:55:52.548;
36000;126;102526;0;183749;2022-03-12T07:29:03.842;
37000;114;98321;0;193235;2022-03-12T08:00:55.505;
38000;124;101490;0;186467;2022-03-12T08:33:50.532;
39000;130;100513;0;190317;2022-03-12T09:06:26.451;
40000;140;107827;0;175049;2022-03-12T09:41:22.868;
41000;141;103009;0;183324;2022-03-12T10:14:47.782;
42000;134;102337;0;185690;2022-03-12T10:47:57.264;
43000;147;109328;0;173606;2022-03-12T11:23:24.377;
44000;166;108256;0;175459;2022-03-12T11:58:30.463;
45000;146;105702;0;181072;2022-03-12T12:32:46.897;
46000;148;109454;0;173216;2022-03-12T13:08:16.708;
47000;161;110342;0;170670;2022-03-12T13:44:04.022;
48000;173;110571;0;172481;2022-03-12T14:19:56.041;
49000;150;106947;0;178456;2022-03-12T14:54:35.357;
50000;140;105653;0;180138;2022-03-12T15:28:52.287;
51000;159;110004;0;172621;2022-03-12T16:04:34.944;
52000;163;110362;0;170732;2022-03-12T16:40:31.761;
53000;163;112985;0;166499;2022-03-12T17:17:14.483;
54000;175;111760;0;169509;2022-03-12T17:53:31.103;
55000;184;114869;0;166704;2022-03-12T18:30:46.747;
56000;149;107983;0;174923;2022-03-12T19:05:49.037;
57000;183;117260;0;160855;2022-03-12T19:43:46.855;
58000;168;109335;0;173541;2022-03-12T20:19:05.656;
59000;166;108195;0;174165;2022-03-12T20:54:08.186;
60000;160;107785;0;179237;2022-03-12T21:29:06.025;
61000;162;110923;0;174188;2022-03-12T22:05:02.955;
62000;155;108700;0;176743;2022-03-12T22:40:21.766;
63000;184;116297;0;161831;2022-03-12T23:18:08.323;
64000;173;110085;0;173328;2022-03-12T23:53:48.661;
65000;162;109186;0;174260;2022-03-13T00:29:14.431;
66000;163;112050;0;171547;2022-03-13T01:05:33.854;
67000;186;112347;0;168155;2022-03-13T01:41:57.820;
68000;175;114723;0;164415;2022-03-13T02:19:09.843;
69000;181;114010;0;165721;2022-03-13T02:56:06.621;
70000;193;117124;0;162880;2022-03-13T03:34:08.048;
71000;190;112803;0;169203;2022-03-13T04:11:02.942;
72000;188;116467;0;162386;2022-03-13T04:48:46.772;
73000;182;119172;0;158680;2022-03-13T05:27:25.440;
74000;195;111597;0;170764;2022-03-13T06:03:38.257;
75000;154;107889;0;176144;2022-03-13T06:38:52.329;
76000;191;112380;0;168601;2022-03-13T07:15:16.978;
77000;172;111019;0;171999;2022-03-13T07:51:16.008;
78000;196;111421;0;169883;2022-03-13T08:27:20.039;
79000;173;115040;0;164176;2022-03-13T09:04:35.040;
80000;188;113606;0;167572;2022-03-13T09:41:24.721;
81000;188;118533;0;159962;2022-03-13T10:19:48.356;
82000;177;111479;0;171631;2022-03-13T10:55:54.978;
83000;206;115946;0;162775;2022-03-13T11:27:51.690;
84000;198;115079;0;165685;2022-03-13T11:57:07.398;
85000;196;116721;0;161706;2022-03-13T12:26:47.336;
86000;189;117852;0;160816;2022-03-13T12:56:43.823;
87000;175;116031;0;163502;2022-03-13T13:26:10.529;
88000;203;122448;0;151553;2022-03-13T13:57:16.271;
89000;202;119645;0;157090;2022-03-13T14:27:40.638;
90000;197;112357;0;169557;2022-03-13T14:56:11.530;
91000;204;117961;0;162099;2022-03-13T15:26:08.913;
92000;198;116360;0;162726;2022-03-13T15:55:36.370;
93000;195;114356;0;165715;2022-03-13T16:24:27.149;
94000;156;109450;0;174218;2022-03-13T16:52:03.877;
95000;205;119076;0;158544;2022-03-13T17:22:07.167;
96000;168;110534;0;171972;2022-03-13T17:50:01.376;
97000;175;105386;0;182531;2022-03-13T18:16:37.406;
98000;175;113428;0;166490;2022-03-13T18:45:14.455;
99000;191;114682;0;165376;2022-03-13T19:14:12.926;
100000;185;115113;0;166952;2022-03-13T19:43:18.487;
101000;205;113458;0;168196;2022-03-13T20:11:56.818;
102000;196;114008;0;169335;2022-03-13T20:40:42.069;
103000;166;108649;0;174054;2022-03-13T21:08:05.153;
104000;183;113692;0;168205;2022-03-13T21:36:47.082;
105000;180;119514;0;157783;2022-03-13T22:07:04.943;
106000;191;113530;0;167484;2022-03-13T22:35:44.520;
107000;182;112615;0;169421;2022-03-13T23:04:12.350;
108000;190;115336;0;165326;2022-03-13T23:33:22.410;
109000;183;109349;0;175089;2022-03-14T00:01:00.523;
110000;205;122607;0;153627;2022-03-14T00:32:00.248;
111000;197;117194;0;160264;2022-03-14T01:01:38.437;
112000;195;116540;0;161425;2022-03-14T01:31:05.843;
113000;216;116718;0;163481;2022-03-14T02:00:34.772;
114000;198;114976;0;164155;2022-03-14T02:29:39.507;
115000;175;114613;0;167020;2022-03-14T02:58:40.746;
116000;208;117008;0;162154;2022-03-14T03:28:15.531;
117000;186;112597;0;168011;2022-03-14T03:56:46.507;
118000;189;112541;0;168638;2022-03-14T04:25:13.232;
119000;201;119249;0;156952;2022-03-14T04:55:21.750;
120000;167;112369;0;168475;2022-03-14T05:23:54.174;
121000;183;110317;0;174877;2022-03-14T05:51:46.575;
122000;190;115287;0;163610;2022-03-14T06:21:00.700;
123000;214;117278;0;162627;2022-03-14T06:50:48.461;
124000;193;120793;0;156664;2022-03-14T07:21:30.487;
125000;211;117926;0;160270;2022-03-14T07:51:28.629;
126000;193;116099;0;163959;2022-03-14T08:20:50.958;
127000;234;121994;0;154276;2022-03-14T08:51:43.623;
128000;200;119154;0;159467;2022-03-14T09:21:52.763;
129000;222;115502;0;165305;2022-03-14T09:51:07.417;
130000;204;114148;0;166958;2022-03-14T10:20:00.115;
131000;181;112400;0;170737;2022-03-14T10:48:25.566;
132000;202;113527;0;166913;2022-03-14T11:17:10.068;
133000;211;120265;0;156676;2022-03-14T11:47:48.270;
134000;216;118706;0;158916;2022-03-14T12:17:50.182;
135000;204;118036;0;158625;2022-03-14T12:47:42.220;
136000;229;118492;0;159599;2022-03-14T13:17:41.287;
137000;198;115833;0;163835;2022-03-14T13:46:57.798;
138000;206;117741;0;160353;2022-03-23T23:54:16.228;
139000;191;113897;0;167734;2022-03-24T00:22:18.705;
140000;207;119720;0;156380;2022-03-24T00:51:27.755;
141000;180;115497;0;163880;2022-03-24T01:19:35.274;
142000;186;115269;0;165554;2022-03-24T01:47:38.498;
143000;196;112983;0;168954;2022-03-24T02:15:08.195;
144000;217;119245;0;157297;2022-03-24T02:44:07.774;
145000;187;119135;0;158983;2022-03-24T03:13:14.765;
146000;210;114620;0;165320;2022-03-24T03:41:09.009;
147000;208;116815;0;161735;2022-03-24T04:09:34.384;
148000;246;122038;0;155646;2022-03-24T04:39:15.763;
149000;207;120554;0;155162;2022-03-24T05:08:35.737;
150000;195;119204;0;156970;2022-03-24T05:37:34.942;
151000;186;112427;0;169169;2022-03-24T06:04:56.289;
152000;189;112683;0;168589;2022-03-24T06:32:20.882;
153000;203;110733;0;173558;2022-03-24T06:59:17.161;
154000;202;117844;0;160465;2022-03-24T07:27:56.795;
155000;196;119528;0;158949;2022-03-24T07:57:01.292;
156000;181;114275;0;166991;2022-03-24T08:24:49.127;
157000;218;121505;0;155412;2022-03-24T08:55:09.824;
158000;212;115011;0;165342;2022-03-24T09:23:42.496;
159000;214;121897;0;153218;2022-03-24T09:54:16.305;
160000;217;122343;0;152366;2022-03-24T10:24:55.428;
161000;218;118376;0;159851;2022-03-24T10:54:38.046;
162000;196;116839;0;161080;2022-03-24T11:24:00.323;
163000;193;114861;0;166769;2022-03-24T11:52:49.991;
164000;203;113730;0;167599;2022-03-24T12:21:20.607;
165000;211;116131;0;163544;2022-03-24T12:50:29.115;
166000;186;104842;0;183937;2022-03-24T13:16:48.484;
167000;195;110611;0;172451;2022-03-24T13:44:33.601;
168000;200;114006;0;165720;2022-03-24T14:13:09.021;
169000;187;118379;0;159983;2022-03-24T14:42:50.885;
170000;212;115247;0;163499;2022-03-24T15:11:54.342;
171000;171;111005;0;173492;2022-03-24T15:39:48.119;
172000;193;121055;0;154075;2022-03-24T16:10:14.596;
173000;194;111324;0;170006;2022-03-24T16:38:09.594;
174000;184;111255;0;171798;2022-03-24T17:06:06.530;
175000;186;110411;0;173489;2022-03-24T17:33:47.743;
176000;179;110056;0;172769;2022-03-24T18:01:24.386;
177000;217;118660;0;159866;2022-03-24T18:31:12.120;
178000;196;115111;0;164690;2022-03-24T19:00:07.593;
179000;206;118242;0;160243;2022-03-24T19:29:48.900;
180000;185;117216;0;161298;2022-03-24T19:59:14.376;
181000;210;117305;0;162995;2022-03-24T20:28:41.972;
182000;212;118558;0;159511;2022-03-24T20:58:26.815;
183000;208;116298;0;163429;2022-03-24T21:27:37.212;
184000;211;119182;0;158131;2022-03-24T21:57:34.059;
185000;201;120608;0;157078;2022-03-24T22:27:50.532;
186000;209;118265;0;160389;2022-03-24T22:57:34.116;
187000;191;115703;0;162373;2022-03-24T23:26:36.193;
188000;193;111917;0;170412;2022-03-24T23:54:43.636;
189000;246;121098;0;155127;2022-03-25T00:25:07.420;
190000;216;121295;0;154377;2022-03-25T00:55:33.667;
191000;190;116651;0;162181;2022-03-25T01:24:50.196;
192000;223;120190;0;157654;2022-03-25T01:55:00.222;
193000;196;109323;0;175884;2022-03-25T02:22:26.564;
194000;194;112163;0;170878;2022-03-25T02:50:34.542;
195000;232;117977;0;159598;2022-03-25T03:20:15.084;
196000;227;120447;0;157910;2022-03-25T03:50:28.581;
197000;195;113357;0;168837;2022-03-25T04:18:54.821;
198000;194;115427;0;165800;2022-03-25T04:48:03.282;
199000;194;116371;0;161694;2022-03-25T05:17:17.564;
200000;214;113583;0;167374;2022-03-25T05:45:48.063;
201000;202;118699;0;159426;2022-03-25T06:15:36.435;
202000;203;114723;0;166540;2022-03-25T06:44:23.767;
203000;221;118061;0;160046;2022-03-25T07:14:05.556;
204000;214;117421;0;163045;2022-03-25T07:43:34.466;
205000;210;117541;0;159614;2022-03-25T08:13:05.537;
206000;215;120585;0;155647;2022-03-25T08:43:22.814;
207000;214;120253;0;157703;2022-03-25T09:13:35.006;
208000;210;117857;0;161505;2022-03-25T09:43:11.869;
209000;209;119825;0;156323;2022-03-25T10:13:18.319;
210000;203;115997;0;163899;2022-03-25T10:42:27.214;
211000;187;109444;0;175320;2022-03-25T11:09:59.510;
212000;199;116605;0;162940;2022-03-25T11:39:17.245;
213000;208;117834;0;161990;2022-03-25T12:08:55.261;
214000;194;111920;0;171049;2022-03-25T12:37:02.276;
215000;193;113064;0;169129;2022-03-25T13:05:26.180;
216000;230;116744;0;160683;2022-03-25T13:34:46.180;
217000;228;119087;0;158695;2022-03-25T14:04:40.727;
218000;197;116054;0;164752;2022-03-25T14:34:59.607;
219000;234;122417;0;154542;2022-03-25T15:07:57.104;
220000;220;124725;0;149102;2022-03-25T15:41:36.208;
221000;214;118649;0;159628;2022-03-25T16:13:28.156;
222000;199;113780;0;167233;2022-03-25T16:44:45.417;
223000;205;120833;0;155422;2022-03-25T17:17:18.356;
224000;197;117404;0;160918;2022-03-25T17:48:57.669;
225000;195;113253;0;169285;2022-03-25T18:17:55.326;
226000;182;110456;0;173368;2022-03-25T18:45:32.319;
227000;202;114424;0;167485;2022-03-25T19:14:16.324;
228000;213;117269;0;163624;2022-03-25T19:43:40.875;
229000;201;117773;0;161540;2022-03-25T20:13:14.409;
230000;210;115198;0;165460;2022-03-25T20:42:08.038;
231000;196;116948;0;163153;2022-03-25T21:11:29.008;
232000;208;120400;0;157292;2022-03-25T21:41:40.623;
233000;197;114761;0;166544;2022-03-25T22:10:30.401;
234000;191;113372;0;169161;2022-03-25T22:38:57.401;
235000;216;115490;0;165277;2022-03-25T23:07:58.573;
236000;216;121784;0;154245;2022-03-25T23:38:32.923;
237000;195;115599;0;165388;2022-03-26T00:07:34.505;
238000;202;115880;0;165333;2022-03-26T00:36:41.852;
239000;191;113801;0;168155;2022-03-26T01:05:16.747;
240000;177;111184;0;172315;2022-03-26T01:33:12.410;
241000;205;115433;0;164684;2022-03-26T02:02:11.647;
242000;207;119287;0;158030;2022-03-26T02:32:09.179;
243000;196;116167;0;164678;2022-03-26T03:01:21.983;
244000;212;116302;0;164139;2022-03-26T03:30:39.131;
245000;174;111520;0;170322;2022-03-26T03:58:39.810;
246000;193;113790;0;166058;2022-03-26T04:27:14.012;
247000;218;121227;0;156306;2022-03-26T04:57:40.229;
248000;206;113892;0;166400;2022-03-26T05:26:15.700;
249000;215;122984;0;152419;2022-03-26T05:57:10.688;
250000;242;119840;0;158258;2022-03-26T06:27:16.680;
251000;213;115518;0;163717;2022-03-26T06:56:18.312;
252000;209;119078;0;159802;2022-03-26T07:26:15.714;
253000;224;119017;0;158192;2022-03-26T07:56:10.342;
254000;211;114662;0;165061;2022-03-26T08:24:57.441;
255000;206;120288;0;157164;2022-03-26T08:55:11.064;
256000;209;123255;0;151085;2022-03-26T09:26:10.075;
257000;235;118038;0;161094;2022-03-26T09:55:48.909;
258000;227;123301;0;152510;2022-03-26T10:26:47.910;
259000;199;118316;0;160387;2022-03-26T10:56:31.661;
260000;205;114399;0;166780;2022-03-26T11:25:19.382;
261000;184;108705;0;176380;2022-03-26T11:52:38.205;
262000;180;107676;0;176928;2022-03-26T12:19:41.607;
263000;210;116564;0;163646;2022-03-26T12:48:58.615;
264000;245;122364;0;152739;2022-03-26T13:19:44.400;
265000;249;126204;0;148150;2022-03-26T13:51:26.945;
266000;211;121873;0;154450;2022-03-26T14:22:04.105;
267000;234;122360;0;153729;2022-03-26T14:52:49.392;
268000;203;120052;0;155842;2022-03-26T15:23:00.818;
269000;208;118618;0;161381;2022-03-26T15:52:47.915;
270000;194;111908;0;170026;2022-03-26T16:20:53.299;
271000;209;115805;0;162308;2022-03-26T16:49:58.274;
272000;184;113578;0;166424;2022-03-26T17:18:29.369;
273000;212;118524;0;159677;2022-03-26T17:48:13.630;
