totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
117000;147;85069;221486;2022-04-19T22:51:36.970;
118000;161;88301;217534;2022-04-19T23:19:59.749;
119000;135;89769;212483;2022-04-19T23:48:53.608;
120000;147;85668;221846;2022-04-20T00:16:26.668;
121000;142;87223;216356;2022-04-20T00:44:33.950;
122000;155;91528;210925;2022-04-20T01:14:00.371;
123000;144;83598;226004;2022-04-20T01:40:52.716;
124000;169;88709;217448;2022-04-20T02:09:20.362;
125000;158;87104;218501;2022-04-20T02:37:15.484;
126000;192;100017;194932;2022-04-20T03:09:19.904;
127000;159;89463;214630;2022-04-20T03:38:04.002;
128000;128;86268;219039;2022-04-20T04:05:43.601;
129000;146;86887;220107;2022-04-20T04:33:50.578;
130000;138;91001;212381;2022-04-20T05:03:01.486;
131000;132;86511;219146;2022-04-20T05:30:44.738;
132000;166;94000;206350;2022-04-20T06:00:56.424;
133000;205;99771;197667;2022-04-20T06:32:58.080;
134000;163;97306;202158;2022-04-20T07:04:11.140;
135000;139;86351;219837;2022-04-20T07:31:54.258;
136000;153;92271;208806;2022-04-20T08:01:30.995;
137000;179;104087;189413;2022-04-20T08:34:56.975;
138000;177;94793;206010;2022-04-20T09:05:23.497;
139000;181;100943;195441;2022-04-20T09:37:51.816;
140000;163;95854;203932;2022-04-20T10:08:38.407;
141000;167;93475;206953;2022-04-20T10:38:39.315;
142000;178;96338;203994;2022-04-20T11:09:35.481;
143000;175;95198;206363;2022-04-20T11:40:09.991;
144000;166;87571;217196;2022-04-20T12:08:19.585;
145000;159;86688;219108;2022-04-20T12:36:07.626;
146000;182;94283;207693;2022-04-20T13:06:21.160;
147000;162;93654;207703;2022-04-20T13:36:22.911;
148000;144;92788;208808;2022-04-20T14:06:08.014;
149000;144;87327;218479;2022-04-20T14:34:10.880;
150000;156;92894;209727;2022-04-20T15:03:59.117;
151000;154;92159;208593;2022-04-20T15:33:37.806;
152000;148;91442;211352;2022-04-20T16:03:02.781;
153000;143;87123;218662;2022-04-20T16:31:07.945;
154000;151;87917;218757;2022-04-20T16:59:22.570;
155000;174;92696;209109;2022-04-20T17:33:09.466;
156000;144;85054;222780;2022-04-20T18:17:29.329;
157000;163;97175;201488;2022-04-20T19:08:07.214;
158000;152;93096;208317;2022-04-20T19:54:17.009;
159000;155;88236;216799;2022-04-20T20:22:45.086;
160000;144;88396;215887;2022-04-20T20:51:11.517;
161000;163;95309;205319;2022-04-20T21:21:51.981;
162000;171;92036;210285;2022-04-20T21:51:31.546;
163000;181;92393;210344;2022-04-20T22:21:21.212;
164000;192;99293;197596;2022-04-20T22:53:26.026;
165000;159;93089;209295;2022-04-20T23:23:32.680;
166000;176;93027;208488;2022-04-20T23:53:34.414;
167000;163;94677;204390;2022-04-21T00:24:09.488;
168000;192;100122;195316;2022-04-21T00:56:28.938;
169000;164;94128;205883;2022-04-21T01:30:11.637;
170000;174;96691;203022;2022-04-21T02:10:24.059;
171000;155;91289;210194;2022-04-21T02:48:02.499;
172000;168;94092;207341;2022-04-21T03:27:04.836;
173000;162;93414;208833;2022-04-21T04:05:53.601;
174000;175;101932;193374;2022-04-21T04:48:14.933;
175000;149;88719;215608;2022-04-21T05:25:06.787;
176000;192;99456;198006;2022-04-21T06:06:29.244;
177000;148;93931;206034;2022-04-21T06:45:37.156;
178000;120;83321;224933;2022-04-21T07:20:16.277;
179000;138;89108;214336;2022-04-21T07:57:19.678;
180000;134;84569;223191;2022-04-21T08:32:31.812;
181000;164;95852;203365;2022-04-21T09:12:25.976;
182000;138;92047;209413;2022-04-21T09:50:45.911;
183000;177;97375;202109;2022-04-21T10:31:25.323;
184000;176;98137;199929;2022-04-21T11:12:15.478;
185000;150;89325;216900;2022-04-21T11:49:30.213;
186000;191;98729;199785;2022-04-21T12:30:34.858;
187000;161;94422;206581;2022-04-21T13:09:52.327;
188000;196;95331;206870;2022-04-21T13:49:32.553;
189000;187;98641;199928;2022-04-21T14:28:19.517;
190000;159;94579;206634;2022-04-21T15:07:29.164;
191000;168;92535;209140;2022-04-21T15:45:52.739;
192000;191;97350;200166;2022-04-21T16:26:24.066;
193000;179;95431;205154;2022-04-21T17:06:11.875;
194000;164;93000;208893;2022-04-21T17:44:50.704;
195000;165;91627;213014;2022-04-21T18:22:54.161;
196000;168;98038;200531;2022-04-21T19:03:39.746;
197000;152;93308;208442;2022-04-21T19:42:27.783;
198000;188;93031;208171;2022-04-21T20:21:11.388;
199000;177;95449;204485;2022-04-21T21:00:56.131;
200000;142;86556;218582;2022-04-21T21:36:57.134;
201000;156;86053;218615;2022-04-21T22:12:45.477;
202000;192;101126;195697;2022-04-21T22:54:59.400;
203000;169;92233;210799;2022-04-21T23:33:24.428;
204000;110;82103;226199;2022-04-22T00:07:36.628;
205000;142;85329;220215;2022-04-22T00:43:06.611;
206000;165;91195;212441;2022-04-22T01:21:07.797;
207000;164;102224;192885;2022-04-22T02:03:39.881;
208000;182;97096;200850;2022-04-22T02:44:04.440;
209000;165;96119;205121;2022-04-22T03:24:08.478;
210000;148;90635;212121;2022-04-22T04:01:52.847;
211000;187;103010;191987;2022-04-22T04:44:46.098;
212000;183;97717;200508;2022-04-22T05:25:23.781;
213000;165;95282;204543;2022-04-22T06:04:59.892;
214000;164;94390;206718;2022-04-22T06:44:19.706;
215000;143;90252;212752;2022-04-22T07:21:53.553;
216000;134;87090;220637;2022-04-22T07:58:07.726;
217000;157;86276;220757;2022-04-22T08:34:07.071;
218000;173;95009;205229;2022-04-22T09:13:39.929;
219000;154;93259;209430;2022-04-22T09:52:31.081;
220000;159;94595;204871;2022-04-22T10:31:55.047;
221000;154;90265;213265;2022-04-22T11:09:26.116;
222000;149;90005;214208;2022-04-22T11:46:53.017;
223000;200;102591;191758;2022-04-22T12:29:30.494;
