totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;1;3379;0;27138;
2000;39;8496;0;15131;
3000;127;10630;0;11381;
4000;171;11895;0;9920;
5000;252;12648;0;8418;
6000;312;13651;0;7914;
7000;383;13913;0;6816;
8000;408;14304;0;7336;
9000;463;14956;0;5906;
10000;535;15130;0;5201;
11000;549;15374;0;4895;
12000;586;16121;0;4313;
13000;616;16682;0;3945;
14000;655;16558;0;4311;
15000;664;16527;0;4085;
16000;681;16426;0;4596;
17000;741;16921;0;3655;
18000;743;17009;0;3558;
19000;743;16764;0;3537;
20000;755;17026;0;3790;
21000;738;16656;0;4072;
22000;738;16814;0;3538;
23000;759;16743;0;4034;
24000;760;17210;0;3913;
25000;781;17356;0;3805;
26000;771;16788;0;3874;
27000;783;17368;0;3811;
28000;785;16723;0;4046;
29000;800;16933;0;3130;
30000;803;17106;0;3224;
31000;803;17012;0;3943;
32000;798;17300;0;3636;
33000;808;17107;0;3741;
34000;818;17581;0;3592;
35000;806;17658;0;3247;
36000;835;17334;0;3357;
37000;816;17115;0;3829;
38000;821;17690;0;3186;
39000;813;17175;0;3168;
40000;813;17220;0;4203;
41000;814;17297;0;3246;
42000;837;17087;0;3299;
43000;834;17622;0;3248;
44000;818;17268;0;3738;
45000;822;17431;0;3346;
46000;851;17327;0;2845;
47000;827;17110;0;3492;
48000;859;17793;0;2544;
49000;835;17253;0;3091;
50000;849;17335;0;3248;
51000;814;17295;0;3425;
52000;867;17369;0;2757;
53000;839;17614;0;3513;
54000;849;17688;0;3038;
55000;846;17540;0;3434;
56000;850;17291;0;3379;
57000;854;17854;0;3052;
58000;853;17613;0;3171;
59000;860;17702;0;2955;
60000;865;17392;0;2886;
61000;884;17403;0;2770;
62000;846;17272;0;3485;
63000;850;17381;0;3160;
64000;843;17330;0;3055;
65000;858;17531;0;2737;
66000;870;17709;0;2857;
67000;860;17384;0;3314;
68000;854;17377;0;3253;
69000;863;17624;0;2764;
70000;848;17485;0;3045;
71000;840;17387;0;3367;
72000;870;17461;0;2889;
73000;871;17306;0;2588;
74000;867;17406;0;2845;
75000;861;17647;0;3228;
76000;840;17265;0;3694;
