totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;2854;0;31111;2022-02-25T00:24:07.727;
2000;4;5963;0;21906;2022-02-25T00:24:43.413;
3000;36;8586;0;16361;2022-02-25T00:26:33.304;
4000;82;9784;0;14852;2022-02-25T00:28:38.268;
5000;147;11142;0;12484;2022-02-25T00:30:34.994;
6000;164;12041;0;11741;2022-02-25T00:33:08.835;
7000;201;12538;0;10695;2022-02-25T00:34:39.229;
8000;235;12822;0;10636;2022-02-25T00:37:20.966;
9000;269;13117;0;10295;2022-02-25T00:40:07.770;
10000;263;13495;0;9558;2022-02-25T00:42:07.765;
11000;308;13935;0;9008;2022-02-25T00:44:19.264;
12000;329;14398;0;7715;2022-02-25T00:46:04.976;
13000;337;14420;0;7746;2022-02-25T00:47:25.525;
14000;348;14964;0;7932;2022-02-25T00:48:49.181;
15000;381;15368;0;6554;2022-02-25T00:50:28.303;
16000;422;15207;0;6952;2022-02-25T00:52:10.831;
17000;437;15670;0;6263;2022-02-25T00:53:37.802;
18000;454;15638;0;6210;2022-02-25T00:56:55.210;
19000;453;16092;0;6216;2022-02-25T01:00:27.977;
20000;453;15507;0;6740;2022-02-25T01:03:54.308;
21000;480;15986;0;6479;2022-02-25T01:07:25.775;
22000;479;16039;0;5827;2022-02-25T01:10:57.782;
23000;502;16779;0;5305;2022-02-25T01:14:37.069;
24000;519;16404;0;5390;2022-02-25T01:18:16.197;
25000;531;15922;0;6210;2022-02-25T01:21:47.232;
26000;507;16093;0;5792;2022-02-25T01:25:20.611;
27000;553;16392;0;5291;2022-02-25T01:28:55.130;
28000;579;16573;0;5751;2022-02-25T01:32:38.211;
29000;579;16281;0;5194;2022-02-25T01:36:10.248;
30000;583;16700;0;5403;2022-02-25T01:39:53.095;
31000;553;16313;0;6182;2022-02-25T01:43:28.038;
32000;595;16849;0;5319;2022-02-25T01:47:08.949;
33000;586;16885;0;5714;2022-02-25T01:50:51.063;
34000;596;16943;0;5116;2022-02-25T01:54:36.380;
35000;599;16544;0;5412;2022-02-25T01:58:12.948;
36000;605;17049;0;5244;2022-02-25T02:01:56.860;
37000;612;17034;0;5312;2022-02-25T02:05:44.521;
38000;608;16917;0;5608;2022-02-25T02:09:28.871;
39000;618;17405;0;5016;2022-02-25T02:13:19.548;
40000;626;17040;0;4966;2022-02-25T02:17:04.492;
41000;642;17120;0;5230;2022-02-25T02:20:50.951;
42000;623;17277;0;5008;2022-02-25T02:24:38.176;
43000;649;17177;0;4588;2022-02-25T02:28:24.276;
44000;649;16945;0;5013;2022-02-25T02:32:10.377;
45000;639;16919;0;5530;2022-02-25T02:35:52.963;
46000;654;16850;0;5444;2022-02-25T02:39:34.517;
47000;674;17244;0;4568;2022-02-25T02:43:22.587;
48000;664;17185;0;4995;2022-02-25T02:47:10.032;
49000;659;17373;0;5037;2022-02-25T02:50:59.227;
50000;648;16991;0;5337;2022-02-25T02:54:46.595;
51000;704;17704;0;3796;2022-02-25T02:58:38.337;
52000;682;17063;0;5652;2022-02-25T03:02:26.017;
53000;676;17168;0;4334;2022-02-25T03:06:14.494;
54000;683;17042;0;4767;2022-02-25T03:10:01.471;
55000;682;17484;0;5071;2022-02-25T03:13:52.214;
56000;682;17425;0;4783;2022-02-25T03:17:42.707;
57000;689;17538;0;4388;2022-02-25T03:21:33.466;
58000;686;17508;0;4784;2022-02-25T03:25:25.506;
59000;695;17184;0;4517;2022-02-25T03:29:12.187;
60000;703;17462;0;4522;2022-02-25T03:33:02.524;
61000;701;17139;0;4827;2022-02-25T03:36:51.643;
62000;741;17347;0;4412;2022-02-25T03:40:41.153;
63000;727;17460;0;4099;2022-02-25T03:44:30.662;
64000;694;17274;0;4752;2022-02-25T03:48:18.578;
65000;687;17367;0;4308;2022-02-25T03:52:08.557;
66000;748;17482;0;4121;2022-02-25T03:56:01.551;
67000;707;17619;0;4747;2022-02-25T03:59:56.561;
68000;712;17125;0;4388;2022-02-25T04:03:42.290;
69000;710;17355;0;5049;2022-02-25T04:07:32.550;
70000;692;17339;0;4759;2022-02-25T04:11:21.061;
71000;716;17221;0;4060;2022-02-25T04:15:09.025;
72000;731;17283;0;4497;2022-02-25T04:18:57.270;
73000;720;17584;0;4477;2022-02-25T04:22:51.842;
74000;713;17621;0;3762;2022-02-25T04:26:43.166;
75000;719;17354;0;4865;2022-02-25T04:30:33.239;
76000;750;17441;0;4160;2022-02-25T04:34:23;
77000;742;17651;0;4023;2022-02-25T04:38:16.120;
78000;756;17890;0;4284;2022-02-25T04:42:14.537;
79000;728;17816;0;4370;2022-02-25T04:46:10.532;
80000;746;17203;0;4111;2022-02-25T04:49:56.996;
81000;733;17403;0;4277;2022-02-25T04:53:47.133;
82000;728;17653;0;4044;2022-02-25T04:57:41.175;
83000;758;17945;0;4005;2022-02-25T05:01:36.331;
84000;721;17284;0;4461;2022-02-25T05:05:24.204;
85000;733;17465;0;4137;2022-02-25T05:09:16.294;
86000;753;17612;0;3713;2022-02-25T05:13:10.729;
87000;760;17533;0;4027;2022-02-25T05:17:03.852;
88000;740;17228;0;4176;2022-02-25T05:20:50.788;
89000;737;17724;0;4320;2022-02-25T05:24:45.521;
90000;766;17885;0;3709;2022-02-25T05:28:40.192;
91000;758;17616;0;3623;2022-02-25T05:32:33.020;
92000;748;17470;0;4255;2022-02-25T05:36:24.473;
93000;749;17497;0;3946;2022-02-25T05:40:15.880;
94000;763;17509;0;3813;2022-02-25T05:44:06.506;
95000;753;17790;0;3829;2022-02-25T05:48:03.960;
96000;778;18006;0;3982;2022-02-25T05:51:59.226;
97000;767;17503;0;3958;2022-02-25T05:55:50.228;
98000;769;17800;0;3581;2022-02-25T05:59:47.871;
99000;770;18025;0;3460;2022-02-25T06:03:47.013;
100000;747;17758;0;4316;2022-02-25T06:07:40.500;
101000;761;17623;0;3850;2022-02-25T06:11:31.691;
102000;743;17319;0;3841;2022-02-25T06:15:21.554;
103000;746;17814;0;4255;2022-02-25T06:19:17.620;
104000;757;17603;0;4052;2022-02-25T06:23:10.655;
105000;733;17824;0;4328;2022-02-25T06:27:09.237;
106000;762;17837;0;3916;2022-02-25T06:31:01.898;
107000;771;17678;0;4468;2022-02-25T06:34:54.574;
108000;771;17849;0;3638;2022-02-25T06:38:51.798;
109000;771;18082;0;3143;2022-02-25T06:42:51.474;
110000;771;18195;0;3551;2022-02-25T06:46:52.526;
111000;786;18000;0;2838;2022-02-25T06:50:51.297;
112000;772;17975;0;3718;2022-02-25T06:54:48.771;
113000;773;18090;0;3469;2022-02-25T06:58:50.307;
114000;782;18203;0;3554;2022-02-25T07:02:47.954;
115000;773;17902;0;3350;2022-02-25T07:06:46.445;
116000;775;17938;0;3768;2022-02-25T07:10:42.045;
117000;781;17943;0;3719;2022-02-25T07:14:38.302;
118000;766;17668;0;3476;2022-02-25T07:18:31.559;
119000;797;18049;0;3138;2022-02-25T07:22:31.409;
120000;814;18136;0;3045;2022-02-25T07:26:28.620;
121000;804;18113;0;3568;2022-02-25T07:30:30.502;
122000;793;17832;0;3044;2022-02-25T07:34:23.885;
123000;785;17502;0;3528;2022-02-25T07:38:15.596;
124000;772;17529;0;3553;2022-02-25T07:42:05.683;
125000;780;17847;0;3608;2022-02-25T07:45:59.957;
126000;796;18195;0;3300;2022-02-25T07:50:02.558;
127000;773;18026;0;3540;2022-02-25T07:53:58.410;
128000;777;17903;0;3532;2022-02-25T07:57:56.200;
129000;777;18214;0;3427;2022-02-25T08:01:56.990;
130000;790;18062;0;3740;2022-02-25T08:05:52.498;
131000;791;17840;0;3718;2022-02-25T08:09:50.007;
132000;780;17765;0;3238;2022-02-25T08:13:44.939;
133000;794;17825;0;3124;2022-02-25T08:17:38.917;
134000;791;18089;0;3336;2022-02-25T08:21:37.004;
135000;796;18046;0;3588;2022-02-25T08:25:36.654;
136000;808;17863;0;3572;2022-02-25T08:29:29.804;
137000;801;17962;0;3047;2022-02-25T08:33:26.814;
138000;816;18234;0;2632;2022-02-25T08:37:28.886;
139000;809;17847;0;2625;2022-02-25T08:41:22.005;
140000;818;18487;0;2972;2022-02-25T08:45:26.546;
141000;814;17778;0;3012;2022-02-25T08:49:21.041;
142000;802;18160;0;3321;2022-02-25T08:53:18.863;
143000;799;18398;0;2908;2022-02-25T08:57:23.138;
144000;797;18344;0;3238;2022-02-25T09:01:24.367;
145000;794;18073;0;3650;2022-02-25T09:05:23.456;
146000;808;18274;0;2929;2022-02-25T09:09:21.685;
147000;809;17979;0;3391;2022-02-25T09:13:20.898;
148000;806;18354;0;3205;2022-02-25T09:17:21.627;
149000;769;17811;0;4187;2022-02-25T09:21:19.357;
150000;786;18009;0;3803;2022-02-25T09:25:16.836;
151000;827;18374;0;3182;2022-02-25T09:29:20.159;
152000;799;18257;0;3160;2022-02-25T09:33:20.732;
153000;799;18243;0;3263;2022-02-25T09:37:22.884;
154000;812;18418;0;2782;2022-02-25T09:41:25.925;
155000;800;17768;0;3100;2022-02-25T09:45:21.546;
156000;812;18805;0;2854;2022-02-25T09:49:28.291;
157000;839;18591;0;2670;2022-02-25T09:53:34.380;
158000;804;18369;0;2687;2022-02-25T09:57:38.062;
159000;826;18242;0;2571;2022-02-25T10:01:36.011;
160000;802;18380;0;2798;2022-02-25T10:05:41.944;
161000;803;18072;0;3552;2022-02-25T10:09:38.049;
162000;802;18120;0;2937;2022-02-25T10:13:38.482;
163000;809;18185;0;3331;2022-02-25T10:17:38.088;
164000;810;17978;0;3353;2022-02-25T10:21:38.677;
165000;806;17790;0;2898;2022-02-25T10:25:34.408;
166000;808;18293;0;3084;2022-02-25T10:29:34.341;
167000;826;18498;0;2643;2022-02-25T10:33:37.837;
168000;824;18051;0;2945;2022-02-25T10:37:37.786;
169000;838;18312;0;2572;2022-02-25T10:41:38.969;
170000;799;18111;0;3186;2022-02-25T10:45:40.512;
171000;850;18540;0;2283;2022-02-25T10:49:45.211;
172000;813;18129;0;2772;2022-02-25T10:53:45.911;
173000;814;18506;0;2664;2022-02-25T10:57:49.219;
174000;814;18251;0;3123;2022-02-25T11:01:50.575;
175000;798;18069;0;2684;2022-02-25T11:05:49.665;
176000;827;18352;0;2692;2022-02-25T11:09:52.661;
177000;826;18320;0;2842;2022-02-25T11:13:57.751;
178000;833;18412;0;2802;2022-02-25T11:17:58.731;
179000;802;18135;0;2890;2022-02-25T11:22:00.571;
180000;832;18464;0;2772;2022-02-25T11:26:03.817;
181000;836;18306;0;2437;2022-02-25T11:30:06.220;
182000;805;18311;0;3290;2022-02-25T11:34:08.654;
183000;808;18552;0;2903;2022-02-25T11:38:12.666;
184000;842;18258;0;2390;2022-02-25T11:42:16.193;
185000;831;18315;0;2833;2022-02-25T11:46:16.081;
186000;814;17901;0;2871;2022-02-25T11:50:13.203;
187000;810;18188;0;2834;2022-02-25T11:54:11.590;
188000;824;18404;0;3103;2022-02-25T11:58:16.399;
189000;809;18310;0;2844;2022-02-25T12:02:15.958;
190000;795;18043;0;3131;2022-02-25T12:06:17.548;
191000;841;18332;0;2771;2022-02-25T12:10:19.139;
192000;833;18449;0;2705;2022-02-25T12:14:22.292;
193000;840;18478;0;2662;2022-02-25T12:18:28.475;
194000;820;18135;0;2675;2022-02-25T12:22:27.457;
195000;823;17894;0;2885;2022-02-25T12:26:24.938;
196000;820;18432;0;2885;2022-02-25T12:30:28.138;
197000;837;18295;0;2538;2022-02-25T12:34:32.603;
198000;830;18154;0;2665;2022-02-25T12:38:32.053;
199000;825;18244;0;2727;2022-02-25T12:42:33.987;
200000;818;17945;0;3314;2022-02-25T12:46:28.407;
201000;821;18514;0;2635;2022-02-25T12:50:35.184;
202000;824;18103;0;3109;2022-02-25T12:54:34.650;
203000;851;18373;0;2353;2022-02-25T12:58:36.100;
204000;814;18128;0;3162;2022-02-25T13:02:36.503;
205000;829;18413;0;2398;2022-02-25T13:06:38.828;
206000;823;18253;0;2845;2022-02-25T13:10:41.700;
207000;806;18158;0;3115;2022-02-25T13:14:42.392;
208000;812;18071;0;2575;2022-02-25T13:18:43.300;
