totalGamesPlayed;gamesWonInSeries;movesInSeries;cellsToUnCoverInSeries;timestamp;
1000;0;3561;351025;2022-04-22T19:48:40.813;
2000;0;6600;344437;2022-04-22T19:51:01.983;
3000;0;11935;334034;2022-04-22T19:55:17.596;
4000;0;16459;325281;2022-04-22T20:01:06.833;
5000;0;22309;314871;2022-04-22T20:09:02.161;
6000;0;27241;304401;2022-04-22T20:18:41.977;
7000;0;31068;300633;2022-04-22T20:29:43.189;
8000;0;36984;289781;2022-04-22T20:42:49.675;
9000;1;45157;275141;2022-04-22T20:58:54.826;
10000;0;49473;270973;2022-04-22T21:16:28.490;
11000;2;52269;264256;2022-04-22T21:35:04.737;
12000;4;57293;257581;2022-04-22T21:55:21.394;
13000;9;57376;258494;2022-04-22T22:15:43.232;
14000;14;64321;245669;2022-04-22T22:38:35.742;
15000;21;68813;237714;2022-04-22T23:03:01.029;
16000;19;64942;246293;2022-04-22T23:26:04.118;
17000;28;69867;236650;2022-04-22T23:50:49.600;
18000;37;74724;228639;2022-04-23T00:15:48.150;
19000;37;71863;233455;2022-04-23T00:36:27.626;
20000;34;77096;225351;2022-04-23T00:58:35.159;
21000;39;79377;219897;2022-04-23T01:21:25.063;
22000;44;77334;224589;2022-04-23T01:43:38.252;
23000;58;85497;211728;2022-04-23T02:08:09.766;
24000;63;80993;220930;2022-04-23T02:31:24.261;
25000;44;78996;224588;2022-04-23T02:54:06.329;
26000;64;84155;214324;2022-04-23T03:18:16.155;
27000;59;80036;221993;2022-04-23T03:41:13.392;
28000;69;86663;209994;2022-04-23T04:06:08.140;
29000;62;89432;205632;2022-04-23T04:31:57.005;
30000;85;85008;213795;2022-04-23T04:56:20.336;
31000;79;84821;212485;2022-04-23T05:20:40.631;
32000;51;80934;219134;2022-04-23T05:43:52.959;
33000;88;89633;204968;2022-04-23T06:09:39.040;
34000;69;86838;211083;2022-04-23T06:34:32.569;
35000;78;84739;213063;2022-04-23T06:58:51.079;
36000;68;83740;214882;2022-04-23T07:22:48.215;
37000;74;89208;207042;2022-04-23T07:48:20.860;
38000;78;90575;204021;2022-04-23T08:14:24.763;
39000;83;90857;203065;2022-04-23T08:40:27.676;
40000;74;88088;206946;2022-04-23T09:05:44.807;
41000;91;92469;202575;2022-04-23T09:32:16.360;
42000;103;93184;200941;2022-04-23T09:59:00.630;
43000;74;84984;213792;2022-04-23T10:23:23.742;
44000;93;91039;204133;2022-04-23T10:49:30.326;
45000;101;91973;201939;2022-04-23T11:15:55.488;
46000;102;99111;189529;2022-04-23T11:44:46.663;
47000;78;88378;208384;2022-04-23T12:10:40.488;
48000;80;89297;205955;2022-04-23T12:36:33.772;
49000;89;90947;203809;2022-04-23T13:02:51.238;
50000;106;94340;196154;2022-04-23T13:30:03.667;
51000;100;92924;201270;2022-04-23T13:56:46.958;
52000;103;93912;197812;2022-04-23T14:23:46.634;
53000;95;95306;195699;2022-04-23T14:51:13.158;
54000;98;92851;200211;2022-04-23T15:17:58.315;
55000;104;99948;189006;2022-04-23T15:46:44.253;
56000;100;97518;192367;2022-04-23T16:14:53.942;
57000;100;97251;192844;2022-04-23T16:43:15.039;
58000;107;101558;185182;2022-04-23T17:12:54.668;
59000;124;102207;186437;2022-04-23T17:45:48.705;
60000;111;100508;187984;2022-04-23T18:20:20.814;
61000;115;102379;185206;2022-04-23T18:55:46.449;
62000;116;101718;186214;2022-04-23T19:30:53.387;
63000;136;99981;188841;2022-04-23T20:05:26.872;
64000;117;101278;186840;2022-04-23T20:40:25.940;
65000;132;100414;186597;2022-04-23T21:15:01.779;
66000;114;102454;185752;2022-04-23T21:50:18.002;
67000;98;97435;194969;2022-04-23T22:23:51.358;
68000;137;107386;176417;2022-04-23T23:00:59.251;
69000;107;101694;186405;2022-04-23T23:36:02.876;
70000;139;106567;177717;2022-04-24T00:12:55.461;
71000;109;98872;193011;2022-04-24T00:47:03.701;
72000;126;103711;184739;2022-04-24T01:22:51.629;
73000;125;100503;188301;2022-04-24T01:57:29.095;
74000;127;98534;192460;2022-04-24T02:31:24.942;
75000;143;108255;175014;2022-04-24T03:08:40.775;
76000;122;101909;186044;2022-04-24T03:43:55.984;
77000;140;105963;180417;2022-04-24T04:20:26.937;
78000;138;103006;186057;2022-04-24T04:55:52.579;
79000;129;103419;185413;2022-04-24T05:31:27.476;
80000;134;97984;194531;2022-04-24T06:05:12.269;
81000;126;103813;181770;2022-04-24T06:40:52.894;
82000;135;102903;183505;2022-04-24T07:16:18.401;
83000;133;108690;173386;2022-04-24T07:53:45.696;
84000;138;104671;181069;2022-04-24T08:29:50.129;
85000;129;105658;178705;2022-04-24T09:06:13.904;
86000;145;102294;185957;2022-04-24T09:41:28.848;
87000;123;102371;186700;2022-04-24T10:16:44.226;
88000;145;107795;175725;2022-04-24T10:53:55.623;
89000;124;98020;192891;2022-04-24T11:27:44.332;
90000;128;105886;180103;2022-04-24T12:03:18.583;
91000;146;104410;182789;2022-04-24T12:33:34.155;
