totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
10000;359;76817;67176;171411;
20000;871;98362;89233;141312;
30000;1217;105100;96317;132271;
40000;1500;108263;99763;127109;
50000;1792;113315;105107;116315;
60000;1917;115058;106975;115468;
70000;2228;117485;109714;111356;
80000;2319;118277;110595;109446;
90000;2445;119824;112269;109894;
100000;2671;120439;113110;106021;
110000;2610;121581;114191;107161;
120000;2791;122422;115213;105280;
130000;3004;123972;116976;100683;
140000;3118;125692;118810;100147;
150000;3063;126180;119243;101739;
160000;3196;126813;120009;98753;
170000;3320;126683;120003;99001;
180000;3502;126940;120443;99450;
190000;3417;128197;121613;96928;
200000;3490;127824;121315;98335;
210000;3626;128390;122015;95533;
220000;3638;128547;122185;96833;
230000;3625;129249;122874;96392;
240000;3627;129247;122874;93975;
250000;3589;128159;121748;94973;
260000;3685;129631;123317;94624;
270000;3816;131331;125146;94374;
280000;3813;130939;124752;92950;
290000;3830;129841;123672;93735;
300000;3786;131177;124963;93071;
310000;3863;130033;123895;94253;
320000;3735;129682;123418;96201;
330000;3913;131743;125656;92277;
340000;3845;130484;124328;92331;
350000;3859;130702;124561;92436;
360000;3784;130523;124307;94675;
370000;3872;130362;124234;93081;
380000;4050;132342;126392;90306;
390000;3952;132021;125973;91029;
400000;3770;130281;124051;95410;
410000;3783;131167;124950;93482;
420000;3971;132353;126324;92286;
430000;3831;130617;124448;93858;
440000;3847;131996;125843;93275;
450000;3933;131542;125476;94002;
460000;3935;132607;126541;90680;
470000;3872;131154;125026;94920;
480000;3998;132117;126116;89006;
490000;3941;131145;125086;92676;
500000;3880;130706;124585;91590;
510000;3945;131132;125078;91982;
520000;3920;131796;125715;93358;
530000;4021;132201;126223;92370;
540000;4008;131530;125537;90525;
550000;3988;132899;126888;89627;
560000;3878;131407;125284;92452;
570000;3939;131912;125852;93490;
580000;4033;132882;126915;91527;
590000;3995;132563;126557;91537;
600000;4077;132831;126908;89684;
610000;4073;132787;126860;90517;
620000;3931;132291;126222;90647;
630000;3852;130757;124609;92254;
640000;4111;133108;127219;89246;
650000;4046;133564;127610;90860;
660000;4073;132631;126704;90150;
670000;4011;131629;125641;90032;
680000;3959;132354;126312;90345;
690000;4025;132736;126761;89733;
700000;4029;133812;127841;89925;
710000;4030;134497;128527;90587;
720000;4181;134383;128565;88552;
730000;4033;133521;127554;90852;
740000;3991;132985;126975;89067;
750000;3932;131608;125540;92190;
760000;4085;133480;127565;90691;
770000;4057;132529;126586;91478;
780000;4108;133243;127352;89480;
790000;4023;132604;126626;90951;
800000;4005;131730;125736;92253;
810000;3996;134353;128348;90624;
820000;3985;131813;125798;90682;
830000;4035;132836;126872;89619;
840000;4180;134378;128557;89195;
850000;4152;134644;128797;89207;
860000;4011;133639;127650;90245;
870000;4052;131944;125996;92599;
880000;4029;133514;127543;91096;
890000;4009;133906;127915;88360;
900000;4028;133282;127310;88151;
910000;4113;135761;129874;87299;
920000;4051;134763;128813;89202;
930000;3982;132065;126047;90308;
940000;4054;133348;127403;91428;
950000;4028;132397;126425;90904;
960000;4022;133274;127295;89712;
970000;4085;133217;127302;88753;
980000;3998;132692;126690;90732;
990000;4024;133980;128005;90242;
1000000;3941;133022;126962;90667;
1010000;3941;131207;125148;91631;
1020000;4037;134314;128351;89561;
1030000;4093;134445;128538;87817;
1040000;4007;130625;124632;93047;
1050000;4071;133574;127645;88836;
1060000;3939;132017;125956;91536;
1070000;4000;131820;125820;89092;
1080000;3947;132645;126592;89178;
1090000;4134;135126;129261;88559;
1100000;3904;132529;126433;93485;
1110000;3984;132269;126252;91625;
1120000;4074;134357;128431;90055;
